epoch,step,test_acc,test_f1,test_loss,train_acc,train_loss,valid_acc,valid_loss
0,49,,,,0.0,2.165422201156616,,
0,99,,,,0.25,1.9154222011566162,,
0,149,,,,0.0,2.165422201156616,,
0,177,,,,,,0.18583333492279053,1.9795881509780884
1,199,,,,0.5,1.6654222011566162,,
1,249,,,,0.5,1.6654222011566162,,
1,299,,,,0.0,2.165422201156616,,
1,349,,,,0.0,2.165422201156616,,
1,355,,,,,,0.15458333492279053,2.010631799697876
2,399,,,,0.0,2.165422201156616,,
2,449,,,,0.25,1.9154222011566162,,
2,499,,,,0.25,1.9154222011566162,,
2,533,,,,,,0.15458333492279053,2.010838270187378
3,549,,,,0.25,1.9154222011566162,,
3,599,,,,0.25,1.9154222011566162,,
3,649,,,,0.0,2.165422201156616,,
3,699,,,,0.0,2.165422201156616,,
3,711,,,,,,0.12333333492279053,2.0420877933502197
4,749,,,,0.0,2.165422201156616,,
4,799,,,,0.0,2.165422201156616,,
4,849,,,,0.0,2.165422201156616,,
4,889,,,,,,0.12333333492279053,2.041776657104492
5,899,,,,0.0,2.165422201156616,,
5,949,,,,0.0,2.165422201156616,,
5,999,,,,0.25,1.9154222011566162,,
5,1049,,,,0.25,1.9154222011566162,,
5,1067,,,,,,0.13375000655651093,2.0316715240478516
6,1099,,,,0.0,2.165422201156616,,
6,1149,,,,0.0,2.165422201156616,,
6,1199,,,,0.0,2.165422201156616,,
6,1245,,,,,,0.13375000655651093,2.0316715240478516
7,1249,,,,0.0,2.165422201156616,,
7,1299,,,,0.0,2.165422201156616,,
7,1349,,,,0.5,1.6654222011566162,,
7,1399,,,,0.0,2.165422201156616,,
7,1423,,,,,,0.18583333492279053,1.9795881509780884
8,1449,,,,0.0,2.165422201156616,,
8,1499,,,,0.25,1.9154222011566162,,
8,1549,,,,0.0,2.165422201156616,,
8,1599,,,,0.25,1.9154222011566162,,
8,1601,,,,,,0.18583333492279053,1.979587197303772
9,1649,,,,0.0,2.165422201156616,,
9,1699,,,,0.0,2.165422201156616,,
9,1749,,,,0.25,1.9154222011566162,,
9,1779,,,,,,0.18583333492279053,1.9795881509780884
10,1799,,,,0.5,1.6654222011566162,,
10,1849,,,,0.25,1.9154222011566162,,
10,1899,,,,0.5,1.6654222011566162,,
10,1949,,,,0.5,1.6654222011566162,,
10,1957,,,,,,0.18583333492279053,1.9795881509780884
11,1999,,,,0.75,1.4154222011566162,,
11,2049,,,,0.5,1.6654222011566162,,
11,2099,,,,0.0,2.165422201156616,,
11,2135,,,,,,0.18583333492279053,1.9795876741409302
12,2149,,,,0.5,1.6654222011566162,,
12,2199,,,,0.5,1.6654222011566162,,
12,2249,,,,0.0,2.165422201156616,,
12,2299,,,,0.5,1.6654222011566162,,
12,2313,,,,,,0.17541666328907013,1.9900048971176147
13,2349,,,,0.25,1.9154222011566162,,
13,2399,,,,0.25,1.9154222011566162,,
13,2449,,,,0.25,1.9154222011566162,,
13,2491,,,,,,0.17541666328907013,1.9900048971176147
14,2499,,,,0.5,1.6654222011566162,,
14,2549,,,,0.0,2.165422201156616,,
14,2599,,,,0.25,1.9154222011566162,,
14,2649,,,,0.0,2.165422201156616,,
14,2669,,,,,,0.17541666328907013,1.9897476434707642
15,2699,,,,0.25,1.9154222011566162,,
15,2749,,,,0.25,1.9154222011566162,,
15,2799,,,,0.25,1.9154222011566162,,
15,2847,,,,,,0.17541666328907013,1.989721655845642
16,2849,,,,0.0,2.165422201156616,,
16,2899,,,,0.5,1.6654222011566162,,
16,2949,,,,0.25,1.9154222011566162,,
16,2999,,,,0.0,2.165422201156616,,
16,3025,,,,,,0.19625000655651093,1.969038963317871
17,3049,,,,0.25,1.9154222011566162,,
17,3099,,,,0.0,2.165422201156616,,
17,3149,,,,0.0,2.165422201156616,,
17,3199,,,,0.25,1.9154222011566162,,
17,3203,,,,,,0.17541666328907013,1.989885687828064
18,3249,,,,0.0,2.165422201156616,,
18,3299,,,,0.25,1.9154222011566162,,
