CMDLINE python src/compress/measure_memory_v2.py
MEM 1.316406 1778621354.2926
MEM 26.183594 1778621354.3929
MEM 40.007812 1778621354.4932
MEM 46.011719 1778621354.5935
MEM 48.953125 1778621354.6937
MEM 85.667969 1778621354.7940
MEM 89.656250 1778621354.8943
MEM 95.750000 1778621354.9945
MEM 99.601562 1778621355.0948
MEM 104.640625 1778621355.1951
MEM 109.847656 1778621355.2953
MEM 114.222656 1778621355.3957
MEM 116.078125 1778621355.4959
MEM 117.691406 1778621355.5962
MEM 121.265625 1778621355.6965
MEM 153.183594 1778621355.7968
MEM 231.238281 1778621355.8973
MEM 238.066406 1778621355.9976
MEM 248.113281 1778621356.0979
MEM 248.113281 1778621356.1981
MEM 268.140625 1778621356.2984
MEM 268.140625 1778621356.3987
MEM 319.496094 1778621356.4991
MEM 334.449219 1778621356.5995
MEM 418.800781 1778621356.6999
MEM 462.546875 1778621356.8003
MEM 462.546875 1778621356.9006
MEM 462.546875 1778621357.0009
MEM 462.546875 1778621357.1012
MEM 482.574219 1778621357.2015
MEM 487.136719 1778621357.3018
MEM 502.820312 1778621357.4022
MEM 525.855469 1778621357.5026
MEM 559.820312 1778621357.6031
MEM 586.949219 1778621357.7035
MEM 621.671875 1778621357.8039
MEM 647.195312 1778621357.9044
MEM 581.746094 1778621358.0049
MEM 581.746094 1778621358.1055
MEM 581.746094 1778621358.2060
MEM 581.746094 1778621358.3065
MEM 581.746094 1778621358.4070
MEM 581.746094 1778621358.5075
MEM 581.746094 1778621358.6080
MEM 581.746094 1778621358.7085
MEM 581.746094 1778621358.8090
MEM 581.746094 1778621358.9095
MEM 581.746094 1778621359.0101
MEM 581.746094 1778621359.1106
MEM 581.746094 1778621359.2111
MEM 581.746094 1778621359.3116
MEM 581.746094 1778621359.4122
MEM 581.746094 1778621359.5127
MEM 581.746094 1778621359.6132
MEM 581.746094 1778621359.7137
MEM 581.746094 1778621359.8142
MEM 581.746094 1778621359.9147
MEM 581.746094 1778621360.0152
MEM 581.746094 1778621360.1157
MEM 581.746094 1778621360.2162
MEM 581.746094 1778621360.3167
MEM 581.746094 1778621360.4172
MEM 581.746094 1778621360.5176
MEM 581.746094 1778621360.6182
MEM 581.746094 1778621360.7187
MEM 581.746094 1778621360.8192
MEM 581.746094 1778621360.9197
MEM 371.984375 1778621361.0201
MEM 162.296875 1778621361.1205
