CMDLINE python src/compress/measure_memory_v2.py
MEM 1.316406 1778268771.5374
MEM 26.273438 1778268771.6377
MEM 39.996094 1778268771.7381
MEM 46.023438 1778268771.8383
MEM 48.960938 1778268771.9386
MEM 81.644531 1778268772.0389
MEM 85.652344 1778268772.1391
MEM 91.828125 1778268772.2394
MEM 95.769531 1778268772.3397
MEM 101.214844 1778268772.4399
MEM 106.796875 1778268772.5402
MEM 110.343750 1778268772.6405
MEM 112.433594 1778268772.7408
MEM 113.812500 1778268772.8411
MEM 117.343750 1778268772.9413
MEM 176.203125 1778268773.0417
MEM 184.902344 1778268773.1420
MEM 218.527344 1778268773.2424
MEM 301.324219 1778268773.3428
MEM 359.851562 1778268773.4432
MEM 436.855469 1778268773.5436
MEM 499.976562 1778268773.6441
MEM 545.867188 1778268773.7445
MEM 656.347656 1778268773.8449
MEM 692.179688 1778268773.9453
MEM 736.781250 1778268774.0457
MEM 808.511719 1778268774.1461
MEM 850.535156 1778268774.2465
MEM 891.011719 1778268774.3470
MEM 930.199219 1778268774.4474
MEM 968.097656 1778268774.5478
MEM 1133.285156 1778268774.6482
MEM 1157.773438 1778268774.7487
MEM 1499.218750 1778268774.8491
MEM 1499.218750 1778268774.9496
MEM 1499.218750 1778268775.0500
MEM 1499.218750 1778268775.1505
MEM 1499.218750 1778268775.2509
MEM 1502.414062 1778268775.3512
MEM 1512.460938 1778268775.4515
MEM 1512.460938 1778268775.5517
MEM 1532.488281 1778268775.6520
MEM 1532.488281 1778268775.7523
MEM 1532.488281 1778268775.8526
MEM 1572.476562 1778268775.9529
MEM 1572.476562 1778268776.0531
MEM 1572.476562 1778268776.1534
MEM 1572.476562 1778268776.2537
MEM 1572.476562 1778268776.3539
MEM 1572.476562 1778268776.4542
MEM 1572.476562 1778268776.5544
MEM 1652.386719 1778268776.6548
MEM 1612.515625 1778268776.7551
MEM 1612.515625 1778268776.8553
MEM 1612.515625 1778268776.9556
MEM 1612.515625 1778268777.0559
MEM 1612.515625 1778268777.1561
MEM 1612.515625 1778268777.2564
MEM 1612.515625 1778268777.3567
MEM 1612.515625 1778268777.4569
MEM 1612.515625 1778268777.5572
MEM 1612.515625 1778268777.6574
MEM 1612.515625 1778268777.7577
MEM 1612.515625 1778268777.8579
MEM 1612.515625 1778268777.9582
MEM 1612.515625 1778268778.0585
MEM 1692.515625 1778268778.1588
MEM 1692.515625 1778268778.2591
MEM 1692.515625 1778268778.3594
MEM 1692.515625 1778268778.4596
MEM 1692.515625 1778268778.5599
MEM 1692.515625 1778268778.6602
MEM 1692.515625 1778268778.7604
MEM 1692.515625 1778268778.8607
MEM 1692.515625 1778268778.9609
MEM 1692.515625 1778268779.0612
MEM 1692.515625 1778268779.1615
MEM 1692.515625 1778268779.2617
MEM 1692.515625 1778268779.3620
MEM 1692.515625 1778268779.4622
MEM 1692.515625 1778268779.5625
MEM 1692.515625 1778268779.6628
MEM 1692.515625 1778268779.7630
MEM 1692.515625 1778268779.8633
MEM 1692.515625 1778268779.9635
MEM 1692.515625 1778268780.0638
MEM 1692.515625 1778268780.1641
MEM 1692.515625 1778268780.2643
MEM 1692.515625 1778268780.3646
MEM 1692.515625 1778268780.4648
MEM 1692.515625 1778268780.5651
MEM 1692.515625 1778268780.6654
MEM 1692.515625 1778268780.7656
MEM 1692.515625 1778268780.8659
MEM 1908.363281 1778268780.9663
MEM 1852.515625 1778268781.0667
MEM 1852.515625 1778268781.1669
MEM 1852.515625 1778268781.2672
MEM 1852.515625 1778268781.3675
MEM 1852.515625 1778268781.4678
MEM 1852.515625 1778268781.5680
MEM 1852.515625 1778268781.6683
MEM 1852.515625 1778268781.7686
MEM 1913.421875 1778268781.8689
MEM 2032.859375 1778268781.9693
MEM 2091.898438 1778268782.0697
MEM 2155.062500 1778268782.1700
MEM 2216.164062 1778268782.2703
MEM 2308.746094 1778268782.3707
MEM 2370.621094 1778268782.4711
MEM 2431.207031 1778268782.5714
MEM 2481.250000 1778268782.6718
MEM 2481.250000 1778268782.7721
MEM 2481.250000 1778268782.8725
MEM 2481.250000 1778268782.9727
MEM 2481.507812 1778268783.0730
MEM 2481.507812 1778268783.1733
MEM 2481.507812 1778268783.2736
MEM 2521.496094 1778268783.3739
MEM 2521.496094 1778268783.4741
MEM 2521.496094 1778268783.5744
MEM 2521.496094 1778268783.6748
MEM 2522.527344 1778268783.7752
MEM 2693.621094 1778268783.8756
MEM 2745.699219 1778268783.9760
MEM 2829.773438 1778268784.0764
MEM 2881.335938 1778268784.1768
