epoch,step,test_acc,test_f1,test_loss,train_acc,train_loss,valid_acc,valid_loss
0,49,,,,0.25,1.9154222011566162,,
0,99,,,,0.0,2.165422201156616,,
0,149,,,,0.25,1.9154222011566162,,
0,156,,,,,,0.14999999105930328,2.0196285247802734
1,199,,,,0.0,2.165421962738037,,
1,249,,,,0.0,2.165422201156616,,
1,299,,,,0.25,1.9154222011566162,,
1,313,,,,,,0.12916666269302368,2.0342319011688232
2,349,,,,0.25,1.9154222011566162,,
2,399,,,,0.0,2.165422201156616,,
2,449,,,,0.25,1.9154222011566162,,
2,470,,,,,,0.13958333432674408,2.028571844100952
3,499,,,,0.25,1.9049851894378662,,
3,549,,,,0.0,2.165422201156616,,
3,599,,,,0.5,1.6654222011566162,,
3,627,,,,,,0.13958333432674408,2.025290012359619
4,649,,,,0.5,1.6654222011566162,,
4,699,,,,0.25,1.9154222011566162,,
4,749,,,,0.0,2.165422201156616,,
4,784,,,,,,0.13958333432674408,2.0258381366729736
5,799,,,,0.0,2.165422201156616,,
5,849,,,,0.25,1.915438175201416,,
5,899,,,,0.5,1.6654222011566162,,
5,941,,,,,,0.18124999105930328,1.984240174293518
6,949,,,,0.0,2.1653428077697754,,
6,999,,,,0.25,1.9154222011566162,,
6,1049,,,,0.0,2.165422201156616,,
6,1098,,,,,,0.16041666269302368,2.005000591278076
7,1099,,,,0.25,1.9154222011566162,,
7,1149,,,,0.5,1.6761786937713623,,
7,1199,,,,0.0,2.165422201156616,,
7,1249,,,,0.0,2.165422201156616,,
7,1255,,,,,,0.17083333432674408,1.9894042015075684
8,1299,,,,0.0,2.165422201156616,,
8,1349,,,,0.0,2.165422201156616,,
8,1399,,,,0.0,2.165422201156616,,
8,1412,,,,,,0.17083333432674408,1.9929132461547852
9,1449,,,,0.0,2.165422201156616,,
9,1499,,,,0.0,2.165422201156616,,
9,1549,,,,0.0,2.165422201156616,,
9,1569,,,,,,0.17083333432674408,1.9944839477539062
10,1599,,,,0.25,1.9154207706451416,,
10,1649,,,,0.25,1.9154222011566162,,
10,1699,,,,0.25,1.9154220819473267,,
10,1726,,,,,,0.19305555522441864,1.9694513082504272
11,1749,,,,0.25,1.9154222011566162,,
11,1799,,,,0.25,1.9154222011566162,,
11,1849,,,,0.5,1.6654222011566162,,
11,1883,,,,,,0.20347221195697784,1.9619474411010742
12,1899,,,,0.0,2.165422201156616,,
12,1949,,,,0.25,1.9154222011566162,,
12,1999,,,,0.5,1.6654222011566162,,
12,2040,,,,,,0.21388888359069824,1.9515339136123657
13,2049,,,,0.25,1.9154222011566162,,
13,2099,,,,0.25,1.9154222011566162,,
13,2149,,,,0.25,1.9154222011566162,,
13,2197,,,,,,0.21388888359069824,1.9515328407287598
14,2199,,,,0.0,2.165422201156616,,
14,2249,,,,0.0,2.165422201156616,,
14,2299,,,,0.0,2.165422201156616,,
14,2349,,,,0.25,1.9154222011566162,,
14,2354,,,,,,0.20347221195697784,1.9619503021240234
15,2399,,,,0.25,1.9154222011566162,,
15,2449,,,,0.25,1.9154222011566162,,
15,2499,,,,0.0,2.165422201156616,,
15,2511,,,,,,0.21388888359069824,1.9516483545303345
16,2549,,,,0.0,2.165422201156616,,
16,2599,,,,0.0,2.159421682357788,,
16,2649,,,,0.5,1.6654222011566162,,
16,2668,,,,,,0.22430555522441864,1.941123366355896
17,2699,,,,0.0,2.165422201156616,,
17,2749,,,,0.0,2.165422201156616,,
17,2799,,,,0.0,2.165422201156616,,
17,2825,,,,,,0.22430555522441864,1.9409626722335815
18,2849,,,,0.0,2.165422201156616,,
18,2899,,,,0.0,2.165422201156616,,
18,2949,,,,0.25,1.9154222011566162,,
18,2982,,,,,,0.22430555522441864,1.9397640228271484
19,2999,,,,0.25,1.9154222011566162,,
19,3049,,,,0.0,2.165422201156616,,
19,3099,,,,0.0,2.165422201156616,,
19,3139,,,,,,0.22430555522441864,1.940516471862793
20,3149,,,,0.0,2.165422201156616,,
20,3199,,,,1.0,1.1654222011566162,,
20,3249,,,,0.25,1.9154222011566162,,
20,3296,,,,,,0.25555554032325745,1.9092150926589966
21,3299,,,,0.5,1.664980411529541,,
21,3349,,,,0.25,1.9154222011566162,,
21,3399,,,,0.25,1.9154222011566162,,
21,3449,,,,0.0,2.158975839614868,,
21,3453,,,,,,0.23472221195697784,1.9302862882614136
22,3499,,,,0.0,2.165422201156616,,
22,3549,,,,0.0,2.165422201156616,,
22,3599,,,,0.0,2.165422201156616,,
22,3610,,,,,,0.23472221195697784,1.9306844472885132
23,3649,,,,0.5,1.6654222011566162,,
23,3699,,,,0.0,2.165422201156616,,
23,3749,,,,0.25,1.9154222011566162,,
23,3767,,,,,,0.2645833194255829,1.9007768630981445
24,3799,,,,0.0,2.165422201156616,,
24,3849,,,,0.5,1.6654222011566162,,
24,3899,,,,0.25,1.9154222011566162,,
24,3924,,,,,,0.2645833194255829,1.9006963968276978
25,3949,,,,0.25,1.9154222011566162,,
25,3999,,,,0.25,1.9154222011566162,,
25,4049,,,,0.0,2.165422201156616,,
25,4081,,,,,,0.2645833194255829,1.9008383750915527
26,4099,,,,0.0,2.165422201156616,,
