epoch,step,train_acc,train_loss,valid_acc,valid_loss
0,49,0.25,1.9154222011566162,,
0,99,0.0,2.165422201156616,,
0,149,0.75,1.4154222011566162,,
0,156,,,0.34791669249534607,1.8175052404403687
1,199,0.25,1.9154222011566162,,
1,249,0.5,1.6654222011566162,,
1,299,0.5,1.6654222011566162,,
1,313,,,0.3687500059604645,1.7966718673706055
2,349,0.0,2.165422201156616,,
2,399,0.25,1.9154222011566162,,
2,449,0.25,1.9154222011566162,,
2,470,,,0.3687500059604645,1.7966718673706055
3,499,0.0,2.165422201156616,,
3,549,0.25,1.9154222011566162,,
3,599,0.75,1.4154222011566162,,
3,627,,,0.37916669249534607,1.7862552404403687
4,649,0.75,1.4154222011566162,,
4,699,0.25,1.9154222011566162,,
4,749,0.5,1.6654222011566162,,
4,784,,,0.3895833492279053,1.7758384943008423
5,799,0.5,1.6654222011566162,,
5,849,0.75,1.4154222011566162,,
5,899,0.75,1.4154222011566162,,
5,941,,,0.3895833492279053,1.7758384943008423
6,949,0.5,1.6654222011566162,,
6,999,0.0,2.165422201156616,,
6,1049,0.75,1.4154222011566162,,
6,1098,,,0.3895833492279053,1.7758384943008423
7,1099,0.5,1.6654222011566162,,
7,1149,0.25,1.9154222011566162,,
7,1199,0.75,1.4154222011566162,,
7,1249,0.5,1.6654222011566162,,
7,1255,,,0.3895833492279053,1.7758384943008423
8,1299,0.25,1.9154222011566162,,
8,1349,0.0,2.165422201156616,,
8,1399,0.5,1.6654222011566162,,
8,1412,,,0.37916669249534607,1.7862534523010254
9,1449,0.25,1.9154224395751953,,
9,1499,0.25,1.9154222011566162,,
9,1549,0.75,1.4154222011566162,,
9,1569,,,0.37916669249534607,1.7862539291381836
10,1599,0.5,1.6654222011566162,,
10,1649,0.5,1.6654222011566162,,
10,1699,0.0,2.165422201156616,,
10,1726,,,0.37916669249534607,1.7862539291381836
11,1749,0.0,2.165422201156616,,
11,1799,0.75,1.4154222011566162,,
11,1849,0.25,1.9154222011566162,,
11,1883,,,0.37916669249534607,1.786253809928894
12,1899,0.5,1.6654222011566162,,
12,1949,0.5,1.6654222011566162,,
12,1999,0.25,1.9154222011566162,,
12,2040,,,0.4000000059604645,1.7654218673706055
13,2049,0.0,2.165422201156616,,
13,2099,0.75,1.4154222011566162,,
13,2149,0.5,1.6654222011566162,,
13,2197,,,0.41041669249534607,1.7550052404403687
14,2199,0.75,1.4154222011566162,,
14,2249,0.25,1.9154222011566162,,
14,2299,0.75,1.4154222011566162,,
14,2349,0.5,1.6654222011566162,,
14,2354,,,0.41041669249534607,1.7550052404403687
15,2399,0.25,1.9154222011566162,,
15,2449,0.25,1.9154222011566162,,
15,2499,0.0,2.165422201156616,,
15,2511,,,0.41041669249534607,1.7550052404403687
16,2549,0.5,1.6654222011566162,,
16,2599,0.0,2.165422201156616,,
16,2649,0.25,1.9154222011566162,,
16,2668,,,0.41041669249534607,1.7550052404403687
17,2699,0.75,1.4154222011566162,,
17,2749,0.25,1.9154222011566162,,
17,2799,0.25,1.9154222011566162,,
17,2825,,,0.41041669249534607,1.7550052404403687
18,2849,0.5,1.6654222011566162,,
18,2899,0.25,1.9154222011566162,,
18,2949,0.0,2.165422201156616,,
18,2982,,,0.41041669249534607,1.7550052404403687
19,2999,0.5,1.6654222011566162,,
19,3049,0.25,1.9154222011566162,,
19,3099,0.75,1.4154222011566162,,
19,3139,,,0.41041669249534607,1.7550052404403687
20,3149,0.5,1.6654222011566162,,
20,3199,0.25,1.9154222011566162,,
20,3249,0.25,1.9154222011566162,,
