1784763533,329.6MiB / 15.39GiB
1784763535,329.2MiB / 15.39GiB
1784763537,329.6MiB / 15.39GiB
1784763539,329.5MiB / 15.39GiB
1784763541,330.3MiB / 15.39GiB
1784763543,330.6MiB / 15.39GiB
1784763545,330MiB / 15.39GiB
1784763547,330MiB / 15.39GiB
1784763549,330.3MiB / 15.39GiB
1784763551,330.1MiB / 15.39GiB
1784763553,329.7MiB / 15.39GiB
1784763555,329.4MiB / 15.39GiB
1784763557,536.7MiB / 15.39GiB
1784763559,1.23GiB / 15.39GiB
1784763561,1.55GiB / 15.39GiB
1784763563,1.996GiB / 15.39GiB
1784763565,1.731GiB / 15.39GiB
1784763567,1.747GiB / 15.39GiB
1784763569,1.809GiB / 15.39GiB
1784763571,1.775GiB / 15.39GiB
1784763573,1.801GiB / 15.39GiB
1784763575,2.009GiB / 15.39GiB
1784763577,1.797GiB / 15.39GiB
1784763579,1.807GiB / 15.39GiB
1784763581,1.817GiB / 15.39GiB
1784763583,1.948GiB / 15.39GiB
1784763585,2.184GiB / 15.39GiB
1784763588,1.854GiB / 15.39GiB
1784763590,1.867GiB / 15.39GiB
1784763592,1.909GiB / 15.39GiB
1784763594,2.397GiB / 15.39GiB
1784763596,2.147GiB / 15.39GiB
1784763598,1.919GiB / 15.39GiB
1784763600,2.953GiB / 15.39GiB
1784763602,3.338GiB / 15.39GiB
1784763604,1.915GiB / 15.39GiB
1784763606,2.019GiB / 15.39GiB
1784763608,1.972GiB / 15.39GiB
1784763610,2.447GiB / 15.39GiB
1784763612,2.413GiB / 15.39GiB
1784763614,2.055GiB / 15.39GiB
1784763616,2.062GiB / 15.39GiB
1784763618,2.068GiB / 15.39GiB
1784763620,2.289GiB / 15.39GiB
1784763622,2.127GiB / 15.39GiB
1784763624,2.16GiB / 15.39GiB
1784763626,2.836GiB / 15.39GiB
1784763628,2.176GiB / 15.39GiB
1784763630,2.238GiB / 15.39GiB
1784763632,2.82GiB / 15.39GiB
1784763634,2.212GiB / 15.39GiB
1784763636,2.16GiB / 15.39GiB
1784763638,2.226GiB / 15.39GiB
1784763640,2.717GiB / 15.39GiB
1784763642,2.244GiB / 15.39GiB
1784763644,2.265GiB / 15.39GiB
1784763646,2.224GiB / 15.39GiB
1784763648,2.771GiB / 15.39GiB
1784763650,2.281GiB / 15.39GiB
1784763652,2.29GiB / 15.39GiB
1784763654,2.301GiB / 15.39GiB
1784763656,2.323GiB / 15.39GiB
1784763658,2.373GiB / 15.39GiB
1784763660,2.381GiB / 15.39GiB
1784763662,2.397GiB / 15.39GiB
1784763664,4.31GiB / 15.39GiB
1784763666,3.985GiB / 15.39GiB
1784763668,5.331GiB / 15.39GiB
1784763670,2.462GiB / 15.39GiB
1784763672,2.521GiB / 15.39GiB
1784763674,2.532GiB / 15.39GiB
1784763676,2.579GiB / 15.39GiB
1784763678,2.694GiB / 15.39GiB
1784763680,2.584GiB / 15.39GiB
1784763682,2.549GiB / 15.39GiB
1784763684,2.999GiB / 15.39GiB
1784763686,3.119GiB / 15.39GiB
1784763688,2.859GiB / 15.39GiB
1784763690,2.757GiB / 15.39GiB
1784763692,2.941GiB / 15.39GiB
1784763694,3.189GiB / 15.39GiB
1784763696,3.593GiB / 15.39GiB
1784763698,2.708GiB / 15.39GiB
1784763700,2.713GiB / 15.39GiB
1784763702,2.689GiB / 15.39GiB
1784763705,2.974GiB / 15.39GiB
1784763707,2.907GiB / 15.39GiB
1784763709,2.895GiB / 15.39GiB
1784763711,2.791GiB / 15.39GiB
1784763713,2.82GiB / 15.39GiB
1784763715,2.823GiB / 15.39GiB
1784763717,2.873GiB / 15.39GiB
1784763719,2.869GiB / 15.39GiB
1784763721,2.821GiB / 15.39GiB
1784763723,3.002GiB / 15.39GiB
1784763725,2.846GiB / 15.39GiB
1784763727,3.272GiB / 15.39GiB
1784763729,2.852GiB / 15.39GiB
1784763731,2.887GiB / 15.39GiB
1784763733,2.867GiB / 15.39GiB
1784763735,2.888GiB / 15.39GiB
1784763737,2.902GiB / 15.39GiB
1784763739,2.953GiB / 15.39GiB
1784763741,2.966GiB / 15.39GiB
1784763743,2.985GiB / 15.39GiB
1784763745,2.988GiB / 15.39GiB
1784763747,3.286GiB / 15.39GiB
1784763749,3.038GiB / 15.39GiB
1784763751,3.036GiB / 15.39GiB
1784763753,3.042GiB / 15.39GiB
1784763755,3.885GiB / 15.39GiB
1784763757,3.113GiB / 15.39GiB
1784763759,3.312GiB / 15.39GiB
1784763761,3.164GiB / 15.39GiB
1784763763,3.168GiB / 15.39GiB
1784763765,4.164GiB / 15.39GiB
1784763767,3.174GiB / 15.39GiB
1784763769,3.218GiB / 15.39GiB
1784763771,3.334GiB / 15.39GiB
1784763773,3.279GiB / 15.39GiB
1784763775,3.334GiB / 15.39GiB
1784763777,3.315GiB / 15.39GiB
1784763779,3.376GiB / 15.39GiB
1784763781,4.376GiB / 15.39GiB
1784763783,3.356GiB / 15.39GiB
1784763785,3.736GiB / 15.39GiB
1784763787,3.382GiB / 15.39GiB
1784763789,3.399GiB / 15.39GiB
1784763791,3.397GiB / 15.39GiB
1784763793,3.405GiB / 15.39GiB
1784763795,3.452GiB / 15.39GiB
1784763797,3.615GiB / 15.39GiB
1784763799,3.482GiB / 15.39GiB
1784763801,3.722GiB / 15.39GiB
1784763803,3.506GiB / 15.39GiB
1784763805,3.53GiB / 15.39GiB
1784763807,3.552GiB / 15.39GiB
1784763809,3.553GiB / 15.39GiB
1784763811,4.341GiB / 15.39GiB
1784763813,3.57GiB / 15.39GiB
1784763815,3.571GiB / 15.39GiB
1784763818,3.514GiB / 15.39GiB
1784763820,3.542GiB / 15.39GiB
1784763822,3.557GiB / 15.39GiB
1784763824,3.57GiB / 15.39GiB
1784763826,3.626GiB / 15.39GiB
1784763828,4.908GiB / 15.39GiB
1784763830,5.949GiB / 15.39GiB
1784763832,1.984GiB / 15.39GiB
1784763834,1.994GiB / 15.39GiB
1784763836,3.358GiB / 15.39GiB
1784763838,2.817GiB / 15.39GiB
1784763840,3.396GiB / 15.39GiB
1784763842,2.022GiB / 15.39GiB
1784763844,2.592GiB / 15.39GiB
1784763846,2.023GiB / 15.39GiB
1784763848,2.037GiB / 15.39GiB
1784763850,2.023GiB / 15.39GiB
