1784579012,420.6MiB / 15.39GiB
1784579014,421.4MiB / 15.39GiB
1784579016,421.5MiB / 15.39GiB
1784579018,1.123GiB / 15.39GiB
1784579020,1.336GiB / 15.39GiB
1784579022,1.667GiB / 15.39GiB
1784579024,1.689GiB / 15.39GiB
1784579026,1.717GiB / 15.39GiB
1784579028,1.777GiB / 15.39GiB
1784579030,1.779GiB / 15.39GiB
1784579032,1.798GiB / 15.39GiB
1784579034,1.814GiB / 15.39GiB
1784579036,1.83GiB / 15.39GiB
1784579038,1.864GiB / 15.39GiB
1784579040,1.884GiB / 15.39GiB
1784579042,1.907GiB / 15.39GiB
1784579044,1.921GiB / 15.39GiB
1784579046,1.941GiB / 15.39GiB
1784579048,1.959GiB / 15.39GiB
1784579050,1.975GiB / 15.39GiB
1784579052,1.99GiB / 15.39GiB
1784579054,2.012GiB / 15.39GiB
1784579056,2.014GiB / 15.39GiB
1784579058,2.07GiB / 15.39GiB
1784579060,2.059GiB / 15.39GiB
1784579062,2.063GiB / 15.39GiB
1784579064,2.093GiB / 15.39GiB
1784579066,2.119GiB / 15.39GiB
1784579068,2.141GiB / 15.39GiB
1784579070,2.159GiB / 15.39GiB
1784579072,2.188GiB / 15.39GiB
1784579074,2.191GiB / 15.39GiB
1784579076,2.197GiB / 15.39GiB
1784579078,2.248GiB / 15.39GiB
1784579080,2.276GiB / 15.39GiB
1784579082,2.291GiB / 15.39GiB
1784579084,2.333GiB / 15.39GiB
1784579086,2.296GiB / 15.39GiB
1784579088,2.332GiB / 15.39GiB
1784579090,2.35GiB / 15.39GiB
1784579092,2.369GiB / 15.39GiB
1784579094,2.383GiB / 15.39GiB
1784579096,2.402GiB / 15.39GiB
1784579098,2.425GiB / 15.39GiB
1784579100,2.479GiB / 15.39GiB
1784579102,2.482GiB / 15.39GiB
1784579104,2.512GiB / 15.39GiB
1784579106,2.493GiB / 15.39GiB
1784579108,2.517GiB / 15.39GiB
1784579110,2.925GiB / 15.39GiB
1784579112,2.599GiB / 15.39GiB
1784579114,2.586GiB / 15.39GiB
1784579116,2.597GiB / 15.39GiB
1784579119,2.926GiB / 15.39GiB
1784579121,2.635GiB / 15.39GiB
1784579123,2.689GiB / 15.39GiB
1784579125,2.684GiB / 15.39GiB
1784579127,2.7GiB / 15.39GiB
1784579129,2.703GiB / 15.39GiB
1784579131,2.726GiB / 15.39GiB
1784579133,2.727GiB / 15.39GiB
1784579135,2.76GiB / 15.39GiB
1784579137,2.831GiB / 15.39GiB
1784579139,2.806GiB / 15.39GiB
1784579141,2.843GiB / 15.39GiB
1784579143,2.83GiB / 15.39GiB
1784579145,2.825GiB / 15.39GiB
1784579147,2.866GiB / 15.39GiB
1784579149,2.894GiB / 15.39GiB
1784579151,2.909GiB / 15.39GiB
1784579153,2.923GiB / 15.39GiB
1784579155,3.179GiB / 15.39GiB
1784579157,2.962GiB / 15.39GiB
1784579159,2.975GiB / 15.39GiB
1784579161,3.007GiB / 15.39GiB
1784579163,3.024GiB / 15.39GiB
1784579165,3.182GiB / 15.39GiB
1784579167,3.088GiB / 15.39GiB
1784579169,3.104GiB / 15.39GiB
1784579171,3.072GiB / 15.39GiB
1784579173,3.102GiB / 15.39GiB
1784579175,3.133GiB / 15.39GiB
1784579177,3.272GiB / 15.39GiB
1784579179,3.286GiB / 15.39GiB
1784579181,3.203GiB / 15.39GiB
1784579183,3.232GiB / 15.39GiB
1784579185,3.247GiB / 15.39GiB
1784579187,3.245GiB / 15.39GiB
1784579189,3.296GiB / 15.39GiB
1784579191,3.394GiB / 15.39GiB
1784579193,3.334GiB / 15.39GiB
1784579195,3.465GiB / 15.39GiB
