1784761520,561.1MiB / 15.39GiB
1784761522,561.7MiB / 15.39GiB
1784761524,561.8MiB / 15.39GiB
1784761526,887.9MiB / 15.39GiB
1784761528,1.553GiB / 15.39GiB
1784761530,2.01GiB / 15.39GiB
1784761532,2.018GiB / 15.39GiB
1784761534,2.517GiB / 15.39GiB
1784761536,2.1GiB / 15.39GiB
1784761538,2.087GiB / 15.39GiB
1784761540,2.258GiB / 15.39GiB
1784761542,2.1GiB / 15.39GiB
1784761544,2.124GiB / 15.39GiB
1784761546,2.629GiB / 15.39GiB
1784761548,2.114GiB / 15.39GiB
1784761551,2.62GiB / 15.39GiB
1784761553,2.302GiB / 15.39GiB
1784761555,2.6GiB / 15.39GiB
1784761557,2.28GiB / 15.39GiB
1784761559,2.493GiB / 15.39GiB
1784761561,2.295GiB / 15.39GiB
1784761563,2.791GiB / 15.39GiB
1784761565,2.534GiB / 15.39GiB
1784761567,2.365GiB / 15.39GiB
1784761569,2.947GiB / 15.39GiB
1784761571,2.41GiB / 15.39GiB
1784761573,2.432GiB / 15.39GiB
1784761575,2.467GiB / 15.39GiB
1784761577,2.592GiB / 15.39GiB
1784761579,2.499GiB / 15.39GiB
1784761581,3.151GiB / 15.39GiB
1784761583,2.714GiB / 15.39GiB
1784761585,2.677GiB / 15.39GiB
1784761587,3.184GiB / 15.39GiB
1784761589,3.459GiB / 15.39GiB
1784761591,2.715GiB / 15.39GiB
1784761593,2.618GiB / 15.39GiB
1784761595,2.627GiB / 15.39GiB
1784761597,2.878GiB / 15.39GiB
1784761599,2.661GiB / 15.39GiB
1784761601,2.727GiB / 15.39GiB
1784761603,2.691GiB / 15.39GiB
1784761605,2.72GiB / 15.39GiB
1784761607,2.74GiB / 15.39GiB
1784761609,2.821GiB / 15.39GiB
1784761611,2.407GiB / 15.39GiB
1784761613,3.248GiB / 15.39GiB
1784761615,1.432GiB / 15.39GiB
1784761617,1.519GiB / 15.39GiB
1784761619,1.469GiB / 15.39GiB
1784761621,1.49GiB / 15.39GiB
1784761623,1.492GiB / 15.39GiB
1784761625,1.967GiB / 15.39GiB
1784761627,1.497GiB / 15.39GiB
1784761629,1.762GiB / 15.39GiB
1784761631,1.566GiB / 15.39GiB
1784761633,2.636GiB / 15.39GiB
