1784600772,515.1MiB / 15.39GiB
1784600774,514.9MiB / 15.39GiB
1784600776,515.7MiB / 15.39GiB
1784600778,708.3MiB / 15.39GiB
1784600780,857.5MiB / 15.39GiB
1784600782,969MiB / 15.39GiB
1784600784,1.011GiB / 15.39GiB
1784600786,1.086GiB / 15.39GiB
1784600788,1.025GiB / 15.39GiB
1784600790,1.057GiB / 15.39GiB
1784600792,1.075GiB / 15.39GiB
1784600794,1.065GiB / 15.39GiB
1784600796,1.092GiB / 15.39GiB
1784600798,1.111GiB / 15.39GiB
1784600800,1.124GiB / 15.39GiB
1784600802,1.223GiB / 15.39GiB
1784600804,1.127GiB / 15.39GiB
1784600806,1.158GiB / 15.39GiB
1784600808,1.308GiB / 15.39GiB
1784600810,1.157GiB / 15.39GiB
1784600812,1.163GiB / 15.39GiB
1784600814,1.17GiB / 15.39GiB
1784600816,1.328GiB / 15.39GiB
1784600818,1.18GiB / 15.39GiB
1784600820,1.199GiB / 15.39GiB
1784600822,1.208GiB / 15.39GiB
1784600824,1.184GiB / 15.39GiB
1784600826,1.239GiB / 15.39GiB
1784600828,1.245GiB / 15.39GiB
1784600830,1.256GiB / 15.39GiB
1784600832,1.273GiB / 15.39GiB
1784600834,1.254GiB / 15.39GiB
1784600836,1.261GiB / 15.39GiB
1784600838,1.27GiB / 15.39GiB
1784600840,1.306GiB / 15.39GiB
1784600842,1.317GiB / 15.39GiB
1784600844,1.287GiB / 15.39GiB
1784600846,1.325GiB / 15.39GiB
1784600848,1.333GiB / 15.39GiB
1784600850,1.344GiB / 15.39GiB
1784600852,1.368GiB / 15.39GiB
1784600854,1.373GiB / 15.39GiB
1784600856,1.385GiB / 15.39GiB
1784600858,1.391GiB / 15.39GiB
1784600860,1.395GiB / 15.39GiB
1784600862,1.4GiB / 15.39GiB
1784600864,1.409GiB / 15.39GiB
1784600866,1.415GiB / 15.39GiB
1784600868,1.425GiB / 15.39GiB
1784600870,1.44GiB / 15.39GiB
1784600872,1.449GiB / 15.39GiB
1784600874,1.457GiB / 15.39GiB
1784600876,1.492GiB / 15.39GiB
1784600878,1.475GiB / 15.39GiB
1784600880,1.487GiB / 15.39GiB
1784600882,1.479GiB / 15.39GiB
1784600884,1.513GiB / 15.39GiB
1784600886,1.525GiB / 15.39GiB
1784600888,1.492GiB / 15.39GiB
1784600890,1.523GiB / 15.39GiB
1784600893,1.503GiB / 15.39GiB
1784600895,1.554GiB / 15.39GiB
1784600897,1.56GiB / 15.39GiB
1784600899,1.567GiB / 15.39GiB
1784600901,1.574GiB / 15.39GiB
1784600903,1.548GiB / 15.39GiB
1784600905,1.554GiB / 15.39GiB
1784600907,1.632GiB / 15.39GiB
1784600909,1.569GiB / 15.39GiB
1784600911,1.616GiB / 15.39GiB
1784600913,1.66GiB / 15.39GiB
1784600915,1.605GiB / 15.39GiB
1784600917,1.611GiB / 15.39GiB
1784600919,1.741GiB / 15.39GiB
1784600921,1.71GiB / 15.39GiB
1784600923,1.676GiB / 15.39GiB
1784600925,1.682GiB / 15.39GiB
1784600927,1.684GiB / 15.39GiB
1784600929,1.695GiB / 15.39GiB
1784600931,1.698GiB / 15.39GiB
1784600933,1.705GiB / 15.39GiB
1784600935,1.716GiB / 15.39GiB
1784600937,1.722GiB / 15.39GiB
1784600939,1.742GiB / 15.39GiB
1784600941,1.819GiB / 15.39GiB
1784600943,1.726GiB / 15.39GiB
1784600945,1.758GiB / 15.39GiB
1784600947,1.989GiB / 15.39GiB
1784600949,1.775GiB / 15.39GiB
1784600951,1.779GiB / 15.39GiB
1784600953,1.786GiB / 15.39GiB
1784600955,1.792GiB / 15.39GiB
1784600957,1.863GiB / 15.39GiB
1784600959,1.794GiB / 15.39GiB
1784600961,1.851GiB / 15.39GiB
1784600963,1.838GiB / 15.39GiB
1784600965,1.846GiB / 15.39GiB
1784600967,1.866GiB / 15.39GiB
1784600969,1.971GiB / 15.39GiB
1784600971,1.998GiB / 15.39GiB
1784600973,2.102GiB / 15.39GiB
1784600975,2.13GiB / 15.39GiB
1784600977,2.155GiB / 15.39GiB
1784600979,2.334GiB / 15.39GiB
1784600981,1.898GiB / 15.39GiB
1784600983,1.926GiB / 15.39GiB
1784600985,2.004GiB / 15.39GiB
1784600987,2.17GiB / 15.39GiB
1784600989,2.251GiB / 15.39GiB
1784600991,2.253GiB / 15.39GiB
1784600993,2.254GiB / 15.39GiB
1784600995,2.254GiB / 15.39GiB
