CMDLINE python src/compress/measure_memory_v2.py
MEM 1.304688 1778267771.8739
MEM 26.257812 1778267771.9742
MEM 39.968750 1778267772.0745
MEM 45.941406 1778267772.1748
MEM 48.890625 1778267772.2750
MEM 79.601562 1778267772.3754
MEM 89.671875 1778267772.4758
MEM 95.726562 1778267772.5762
MEM 99.757812 1778267772.6766
MEM 105.066406 1778267772.7770
MEM 110.695312 1778267772.8774
MEM 114.304688 1778267772.9779
MEM 116.402344 1778267773.0783
MEM 117.660156 1778267773.1787
MEM 121.402344 1778267773.2792
MEM 181.347656 1778267773.3796
MEM 188.949219 1778267773.4801
MEM 224.703125 1778267773.5806
MEM 306.722656 1778267773.6811
MEM 365.511719 1778267773.7816
MEM 443.031250 1778267773.8821
MEM 506.667969 1778267773.9826
MEM 553.074219 1778267774.0831
MEM 660.460938 1778267774.1836
MEM 699.902344 1778267774.2842
MEM 774.468750 1778267774.3847
MEM 817.007812 1778267774.4853
MEM 858.773438 1778267774.5857
MEM 899.250000 1778267774.6861
MEM 938.437500 1778267774.7865
MEM 976.078125 1778267774.8869
MEM 1137.398438 1778267774.9874
MEM 1166.269531 1778267775.0878
MEM 1503.500000 1778267775.1883
MEM 1503.500000 1778267775.2887
MEM 1503.500000 1778267775.3893
MEM 1503.500000 1778267775.4897
MEM 1503.500000 1778267775.5901
MEM 1506.593750 1778267775.6904
MEM 1516.382812 1778267775.7907
MEM 1516.382812 1778267775.8910
MEM 1536.410156 1778267775.9913
MEM 1536.410156 1778267776.0916
MEM 1536.410156 1778267776.1918
MEM 1576.398438 1778267776.2921
MEM 1576.398438 1778267776.3924
MEM 1576.398438 1778267776.4927
MEM 1576.398438 1778267776.5929
MEM 1576.398438 1778267776.6932
MEM 1576.398438 1778267776.7935
MEM 1576.398438 1778267776.8937
MEM 1616.632812 1778267776.9941
MEM 1616.632812 1778267777.0944
MEM 1616.632812 1778267777.1946
MEM 1616.632812 1778267777.2949
MEM 1616.632812 1778267777.3952
MEM 1616.632812 1778267777.4954
MEM 1616.632812 1778267777.5957
MEM 1616.632812 1778267777.6959
MEM 1616.632812 1778267777.7962
MEM 1616.632812 1778267777.8965
MEM 1616.632812 1778267777.9967
MEM 1616.632812 1778267778.0970
MEM 1616.632812 1778267778.1972
MEM 1616.632812 1778267778.2975
MEM 1776.628906 1778267778.3979
