dataset,Average number of edges,Average number of nodes,Compressed dict attributes,Compressed edge attributes,Compressed graph,Compressed graph complete size serialized,Compressed graph object size,Compressed graph structure,Compressed node attributes,Number of graphs,Time to compress,Time to construct graphs,Total compressed edge attr values,Total compressed node attr values,Uncompressed complete graph size,Uncompressed complete graph size serialized,Uncompressed edge attr values,Uncompressed graph structure,Uncompressed node attr values,attr_keys,attr_keys_serialized,edge_attr_values,edge_attr_values_serialized,edge_label_to_edge_id,edge_label_to_edge_id_serialized,edge_local_attr_keyvalue_mapping,edge_local_attr_keyvalue_mapping_serialized,node_attr_values,node_attr_values_serialized,node_global_attr_keyvalue_mapping,node_global_attr_keyvalue_mapping_serialized,node_label_to_node_id,node_label_to_node_id_serialized,node_local_attr_keyvalue_mapping,node_local_attr_keyvalue_mapping_serialized,pdb_code_to_id,pdb_code_to_id_serialized,pdb_id_to_edges,pdb_id_to_edges_serialized,pdb_id_to_nodes,pdb_id_to_nodes_serialized
bcl_ppigremlin_results.log,nan,nan,43.57477569580078,60.75218963623047,135.73180389404297,17.305259704589844,122.52518463134766,23.797882080078125,7.606956481933594,116,3.887357234954834,8.351917028427124,95.23983764648438,16.69324493408203,167.56895446777344,19.762340545654297,110.61074829101562,41.028167724609375,36.54454040527344,0.0008392333984375,0.00015926361083984375,34.487648010253906,5.308623313903809,21.750755310058594,1.995962142944336,60.75218963623047,4.991826057434082,9.086288452148438,1.6870183944702148,0.19945526123046875,0.19947242736816406,1.5171356201171875,0.14541053771972656,7.407501220703125,0.6116123199462891,0.0142059326171875,0.001010894775390625,0.44139862060546875,0.43465328216552734,0.0743865966796875,0.06764411926269531
ligand_BME_results.log,nan,nan,157.06281280517578,216.38372039794922,554.8796615600586,63.63154602050781,501.20301818847656,156.44578552246094,24.987342834472656,187,14.896350860595703,19.084612131118774,343.6862487792969,54.746788024902344,543.2452392578125,63.846421241760254,361.1296691894531,132.2570037841797,117.0081558227539,0.0008392333984375,0.00015926361083984375,127.30252838134766,17.616918563842773,148.79014587402344,12.59461498260498,216.38372039794922,17.489985466003418,29.759445190429688,5.204961776733398,0.7999496459960938,0.7999629974365234,6.334968566894531,0.5918750762939453,24.187393188476562,2.0931215286254883,0.024566650390625,0.0016202926635742188,1.0776214599609375,1.0651683807373047,0.21848297119140625,0.20594501495361328
ligand_PLP_results.log,nan,nan,89.0633316040039,136.5918426513672,334.1707000732422,41.76860046386719,297.69612884521484,92.61006927490234,15.90545654296875,63,9.852368116378784,12.054877758026123,207.76789093017578,33.791900634765625,356.2904739379883,41.82203006744385,237.788330078125,86.540771484375,75.69189453125,0.0008392333984375,0.00015926361083984375,71.1760482788086,11.568166732788086,86.2050552368164,8.436279296875,136.5918426513672,11.442357063293457,17.886444091796875,3.350027084350586,0.6801681518554688,0.6801815032958984,5.761222839355469,0.5032491683959961,15.225288391113281,1.2995824813842773,0.0074462890625,0.0005559921264648438,0.5010910034179688,0.4977531433105469,0.13525390625,0.13190174102783203
ligand_PO4_results.log,nan,nan,1324.8406295776367,1903.7352752685547,4678.5222244262695,572.7046051025391,4233.611770629883,1242.1495895385742,207.7967300415039,1259,132.17580795288086,172.1349310874939,2974.3017654418945,462.07003021240234,4932.5234451293945,579.3319225311279,3288.997039794922,1200.1571655273438,1050.4126586914062,0.0008392333984375,0.00015926361083984375,1070.5664901733398,161.3726291656494,1205.0412139892578,103.96679878234863,1903.7352752685547,166.7516384124756,254.27330017089844,47.031476974487305,3.254913330078125,3.254932403564453,25.606101989746094,2.6343612670898438,204.54181671142578,20.962081909179688,0.140899658203125,0.01177978515625,9.448577880859375,9.39022159576416,1.9127960205078125,1.8535490036010742
metals_CO_results.log,nan,nan,167.4806900024414,243.8796157836914,609.3822631835938,73.473876953125,547.6146697998047,170.12513732910156,27.896820068359375,196,16.875164031982422,22.038031578063965,378.54945373535156,60.70683288574219,627.3435440063477,73.70052242279053,417.1807556152344,152.83009338378906,134.50911712646484,0.0008392333984375,0.00015926361083984375,134.66983795166016,20.380268096923828,159.53960418701172,14.582350730895996,243.8796157836914,20.252674102783203,32.81001281738281,6.029411315917969,0.8608856201171875,0.8609027862548828,9.126373291015625,0.6352987289428711,27.035934448242188,2.4095849990844727,0.02532196044921875,0.001697540283203125,1.1827468872070312,1.1701793670654297,0.25109100341796875,0.23840618133544922
nicleic_dna_results.log,nan,nan,603.7545547485352,794.6501693725586,1898.0250701904297,229.57511138916016,1714.6667861938477,409.07621002197266,90.54413604736328,533,53.00022768974304,70.45374488830566,1287.3726196289062,201.57540130615234,1979.1788177490234,232.07800102233887,1318.6828002929688,481.5818634033203,421.02686309814453,0.0008392333984375,0.00015926361083984375,492.72245025634766,64.65977191925049,383.6538619995117,41.170565605163574,794.6501693725586,66.21348190307617,111.03126525878906,19.048667907714844,2.3214797973632812,2.3214950561523438,21.131690979003906,1.846592903137207,88.22265625,8.245498657226562,0.06238555908203125,0.0048542022705078125,3.4627456665039062,3.435126304626465,0.7655258178710938,0.7375411987304688
nucleotides_FAD_results.log,nan,nan,218.67351531982422,354.14501190185547,832.5987091064453,112.87396240234375,737.5314483642578,214.92457580566406,44.85560607910156,168,26.804101705551147,33.96456837654114,518.4802551269531,99.19303894042969,962.6197814941406,113.32427978515625,643.9848327636719,232.75892639160156,204.25929260253906,0.0008392333984375,0.00015926361083984375,164.33524322509766,31.50724983215332,201.42533111572266,22.36302375793457,354.14501190185547,31.387779235839844,54.337432861328125,9.139735221862793,1.4141311645507812,1.4141502380371094,11.780746459960938,1.0694475173950195,43.44147491455078,3.738936424255371,0.0185699462890625,0.00145721435546875,1.342193603515625,1.3345680236816406,0.35773468017578125,0.3499736785888672
nucleotides_NAD_results.log,nan,nan,178.942626953125,275.3793411254883,668.7945785522461,84.579345703125,597.2526702880859,183.2441177368164,31.228492736816406,139,19.809099912643433,23.315328359603882,418.4916229248047,67.05799865722656,721.8269271850586,84.87021446228027,481.3939208984375,175.53343963623047,153.46855926513672,0.0008392333984375,0.00015926361083984375,143.1122817993164,23.546887397766113,171.70687103271484,16.85679340362549,275.3793411254883,23.414986610412598,35.829505920410156,6.846826553344727,1.0719375610351562,1.071950912475586,10.139366149902344,0.7975006103515625,30.15655517578125,2.7609691619873047,0.01613616943359375,0.0012083053588867188,1.1160202026367188,1.108952522277832,0.26572418212890625,0.2585439682006836
nucleotides_UDP_results.log,nan,nan,87.60801696777344,132.25991821289062,327.0087127685547,40.40711212158203,291.27919006347656,91.37317657470703,15.767601013183594,68,9.635611534118652,12.038803100585938,202.25988006591797,33.37481689453125,343.09603118896484,40.33279323577881,228.96859741210938,83.4332504272461,73.09597778320312,0.0008392333984375,0.00015926361083984375,69.99996185302734,11.127029418945312,84.65332794189453,8.149384498596191,132.25991821289062,11.00817584991455,17.607215881347656,3.266468048095703,0.7494964599609375,0.7495136260986328,6.09320068359375,0.5547676086425781,15.018104553222656,1.2568378448486328,0.00786590576171875,0.000598907470703125,0.49236297607421875,0.4889373779296875,0.1264190673828125,0.12292289733886719
soybean_ppigremlin_results.log,nan,nan,42.3472900390625,56.79889678955078,120.11409759521484,15.446479797363281,109.20367431640625,13.868377685546875,7.0995330810546875,93,3.2499237060546875,5.801700592041016,90.52348327636719,15.721397399902344,159.1702117919922,18.7236385345459,104.67041015625,39.00006103515625,34.812095642089844,0.0008392333984375,0.00015926361083984375,33.724586486816406,5.022416114807129,12.127098083496094,1.1537914276123047,56.79889678955078,4.605566024780273,8.621864318847656,1.5729827880859375,0.14141845703125,0.1414318084716797,1.2397384643554688,0.10347270965576172,6.9581146240234375,0.5841779708862305,0.01227569580078125,0.0008134841918945312,0.4189910888671875,0.4127187728881836,0.07027435302734375,0.06401634216308594
