CMDLINE python src/compress/measure_memory_v1.py
MEM 1.316406 1778267736.0627
MEM 26.562500 1778267736.1631
MEM 40.089844 1778267736.2633
MEM 46.179688 1778267736.3636
MEM 49.066406 1778267736.4639
MEM 51.722656 1778267736.5641
MEM 53.617188 1778267736.6644
MEM 54.523438 1778267736.7647
MEM 96.316406 1778267736.8650
MEM 98.210938 1778267736.9653
MEM 105.378906 1778267737.0656
MEM 109.613281 1778267737.1658
MEM 114.671875 1778267737.2661
MEM 118.054688 1778267737.3664
MEM 122.972656 1778267737.4667
MEM 125.691406 1778267737.5670
MEM 127.148438 1778267737.6673
MEM 130.867188 1778267737.7675
MEM 132.664062 1778267737.8678
MEM 135.511719 1778267737.9681
MEM 137.628906 1778267738.0683
MEM 141.144531 1778267738.1686
MEM 143.082031 1778267738.2688
MEM 179.503906 1778267738.3692
MEM 187.625000 1778267738.4695
MEM 192.707031 1778267738.5697
MEM 196.332031 1778267738.6701
MEM 203.812500 1778267738.7704
MEM 204.460938 1778267738.8706
MEM 204.742188 1778267738.9709
MEM 205.285156 1778267739.0712
MEM 208.050781 1778267739.1714
MEM 209.890625 1778267739.2717
MEM 211.902344 1778267739.3720
MEM 217.921875 1778267739.4722
MEM 220.433594 1778267739.5725
MEM 224.183594 1778267739.6728
MEM 225.222656 1778267739.7730
MEM 226.031250 1778267739.8733
MEM 226.031250 1778267739.9736
MEM 226.031250 1778267740.0738
MEM 227.464844 1778267740.1741
MEM 227.742188 1778267740.2744
MEM 230.503906 1778267740.3746
MEM 231.550781 1778267740.4749
MEM 231.824219 1778267740.5752
MEM 232.082031 1778267740.6754
MEM 235.402344 1778267740.7757
MEM 237.203125 1778267740.8759
MEM 239.757812 1778267740.9762
MEM 244.996094 1778267741.0765
MEM 244.996094 1778267741.1768
MEM 245.191406 1778267741.2773
MEM 246.718750 1778267741.3776
MEM 246.718750 1778267741.4778
MEM 249.808594 1778267741.5781
MEM 252.363281 1778267741.6784
MEM 254.187500 1778267741.7786
MEM 254.671875 1778267741.8789
MEM 255.804688 1778267741.9791
MEM 256.062500 1778267742.0794
MEM 256.179688 1778267742.1797
MEM 257.183594 1778267742.2799
MEM 257.945312 1778267742.3802
MEM 258.109375 1778267742.4805
MEM 258.878906 1778267742.5807
MEM 259.757812 1778267742.6810
MEM 260.351562 1778267742.7813
MEM 261.445312 1778267742.8815
MEM 261.714844 1778267742.9818
MEM 263.000000 1778267743.0821
MEM 263.863281 1778267743.1823
MEM 264.210938 1778267743.2826
MEM 264.562500 1778267743.3828
MEM 264.816406 1778267743.4831
MEM 266.128906 1778267743.5834
MEM 269.238281 1778267743.6836
MEM 272.847656 1778267743.7839
MEM 272.847656 1778267743.8842
MEM 272.847656 1778267743.9844
MEM 272.847656 1778267744.0847
MEM 273.105469 1778267744.1849
MEM 275.199219 1778267744.2852
MEM 275.808594 1778267744.3856
MEM 300.589844 1778267744.4861
MEM 329.941406 1778267744.5865
MEM 368.765625 1778267744.6870
MEM 419.859375 1778267744.7874
MEM 425.660156 1778267744.8878
MEM 473.601562 1778267744.9883
MEM 488.449219 1778267745.0887
MEM 555.523438 1778267745.1892
MEM 555.523438 1778267745.2896
MEM 623.847656 1778267745.3900
MEM 636.800781 1778267745.4905
MEM 649.949219 1778267745.5909
MEM 725.726562 1778267745.6913
MEM 735.625000 1778267745.7918
MEM 735.625000 1778267745.8922
MEM 802.957031 1778267745.9926
MEM 891.925781 1778267746.0930
MEM 891.925781 1778267746.1935
MEM 891.925781 1778267746.2939
MEM 953.171875 1778267746.3944
MEM 1028.445312 1778267746.4948
MEM 1044.210938 1778267746.5953
MEM 1044.210938 1778267746.6957
MEM 1044.210938 1778267746.7961
MEM 1116.515625 1778267746.8966
MEM 1191.820312 1778267746.9969
MEM 1232.406250 1778267747.0974
MEM 1232.406250 1778267747.1979
MEM 1232.406250 1778267747.2983
MEM 1233.570312 1778267747.3987
MEM 1309.093750 1778267747.4991
MEM 1441.609375 1778267747.5995
MEM 1516.699219 1778267747.6999
MEM 1530.136719 1778267747.8004
MEM 1530.136719 1778267747.9008
MEM 1530.136719 1778267748.0013
MEM 1530.136719 1778267748.1017
MEM 1578.230469 1778267748.2021
MEM 1653.710938 1778267748.3025
MEM 1729.222656 1778267748.4030
MEM 1804.488281 1778267748.5034
MEM 1819.863281 1778267748.6038
MEM 1819.863281 1778267748.7043
MEM 1819.863281 1778267748.8047
MEM 1819.863281 1778267748.9051
MEM 1819.863281 1778267749.0055
MEM 1872.539062 1778267749.1059
MEM 1947.804688 1778267749.2063
MEM 2023.710938 1778267749.3067
MEM 2098.863281 1778267749.4072
MEM 2172.328125 1778267749.5076
MEM 2172.328125 1778267749.6080
MEM 2172.328125 1778267749.7085
MEM 2172.328125 1778267749.8090
MEM 2172.328125 1778267749.9094
MEM 2172.328125 1778267750.0098
MEM 2172.328125 1778267750.1101
MEM 2235.210938 1778267750.2105
MEM 2310.718750 1778267750.3110
MEM 2388.078125 1778267750.4114
MEM 2575.996094 1778267750.5118
MEM 2651.363281 1778267750.6123
MEM 2726.882812 1778267750.7127
MEM 2739.382812 1778267750.8130
MEM 2739.382812 1778267750.9135
MEM 2739.382812 1778267751.0140
MEM 2739.382812 1778267751.1144
MEM 2739.382812 1778267751.2148
MEM 2739.382812 1778267751.3152
MEM 2739.382812 1778267751.4156
MEM 2755.875000 1778267751.5159
MEM 2831.289062 1778267751.6162
MEM 2906.480469 1778267751.7167
MEM 2981.527344 1778267751.8171
MEM 3057.039062 1778267751.9175
MEM 3132.703125 1778267752.0180
MEM 3207.914062 1778267752.1184
MEM 3279.746094 1778267752.2188
MEM 3279.746094 1778267752.3191
MEM 3279.746094 1778267752.4196
MEM 3279.746094 1778267752.5201
MEM 3279.746094 1778267752.6205
MEM 3279.746094 1778267752.7210
MEM 3279.746094 1778267752.8213
MEM 3279.746094 1778267752.9218
MEM 3279.746094 1778267753.0221
MEM 3279.746094 1778267753.1224
MEM 3334.277344 1778267753.2228
MEM 3409.718750 1778267753.3232
MEM 3485.312500 1778267753.4237
MEM 3560.441406 1778267753.5241
MEM 3635.695312 1778267753.6245
MEM 3711.148438 1778267753.7249
MEM 3786.140625 1778267753.8254
MEM 3861.507812 1778267753.9258
MEM 3936.902344 1778267754.0262
MEM 3947.492188 1778267754.1266
MEM 3947.492188 1778267754.2271
MEM 3947.492188 1778267754.3275
MEM 3947.492188 1778267754.4280
MEM 3947.492188 1778267754.5285
MEM 3947.492188 1778267754.6289
MEM 3947.492188 1778267754.7292
MEM 3947.492188 1778267754.8297
MEM 3947.492188 1778267754.9301
MEM 3947.492188 1778267755.0304
MEM 3947.492188 1778267755.1307
MEM 3980.242188 1778267755.2310
MEM 4055.843750 1778267755.3314
MEM 4131.000000 1778267755.4319
MEM 4206.453125 1778267755.5323
MEM 4282.074219 1778267755.6327
MEM 4357.203125 1778267755.7331
MEM 4432.875000 1778267755.8336
MEM 4624.316406 1778267755.9340
MEM 4812.968750 1778267756.0344
MEM 4888.734375 1778267756.1348
MEM 4964.332031 1778267756.2353
MEM 5030.289062 1778267756.3357
MEM 5030.289062 1778267756.4360
MEM 5030.289062 1778267756.5363
MEM 5030.289062 1778267756.6368
MEM 5030.289062 1778267756.7373
MEM 5030.289062 1778267756.8378
MEM 5030.289062 1778267756.9382
MEM 5030.289062 1778267757.0387
MEM 5030.289062 1778267757.1390
MEM 5030.289062 1778267757.2394
MEM 5030.289062 1778267757.3398
MEM 5030.289062 1778267757.4402
MEM 5030.289062 1778267757.5405
MEM 5030.289062 1778267757.6408
MEM 5036.167969 1778267757.7411
MEM 5111.835938 1778267757.8415
MEM 5187.796875 1778267757.9419
MEM 5263.964844 1778267758.0423
MEM 5339.660156 1778267758.1428
MEM 5415.320312 1778267758.2432
MEM 5490.843750 1778267758.3436
MEM 5566.433594 1778267758.4441
MEM 5642.019531 1778267758.5445
MEM 5717.507812 1778267758.6449
MEM 5793.070312 1778267758.7453
MEM 5868.847656 1778267758.8458
MEM 5944.515625 1778267758.9462
MEM 6020.199219 1778267759.0466
MEM 6052.816406 1778267759.1471
MEM 6052.816406 1778267759.2474
MEM 6052.816406 1778267759.3477
MEM 6052.816406 1778267759.4481
MEM 6052.816406 1778267759.5486
MEM 6052.816406 1778267759.6490
MEM 6052.816406 1778267759.7495
MEM 6052.816406 1778267759.8499
MEM 6052.816406 1778267759.9504
MEM 6052.816406 1778267760.0507
MEM 6052.816406 1778267760.1510
MEM 6052.816406 1778267760.2514
MEM 6052.816406 1778267760.3519
MEM 6052.816406 1778267760.4523
MEM 6052.816406 1778267760.5526
MEM 6052.816406 1778267760.6529
MEM 6052.816406 1778267760.7532
MEM 6075.179688 1778267760.8535
MEM 6150.851562 1778267760.9539
MEM 6226.500000 1778267761.0543
MEM 6302.394531 1778267761.1547
MEM 6378.285156 1778267761.2551
MEM 6453.636719 1778267761.3556
MEM 6529.371094 1778267761.4560
MEM 6605.101562 1778267761.5564
MEM 6680.687500 1778267761.6569
MEM 6756.750000 1778267761.7573
MEM 6832.281250 1778267761.8577
MEM 6907.835938 1778267761.9581
MEM 6983.445312 1778267762.0585
MEM 7059.062500 1778267762.1589
MEM 7079.519531 1778267762.2593
MEM 7079.519531 1778267762.3598
MEM 7079.519531 1778267762.4602
MEM 7079.519531 1778267762.5607
MEM 6567.570312 1778267762.6613
MEM 6567.570312 1778267762.7618
MEM 6567.570312 1778267762.8623
MEM 6567.570312 1778267762.9628
MEM 6567.570312 1778267763.0633
MEM 6567.570312 1778267763.1638
MEM 6567.570312 1778267763.2644
MEM 6567.570312 1778267763.3649
MEM 6567.570312 1778267763.4654
MEM 6567.570312 1778267763.5659
MEM 6567.570312 1778267763.6664
MEM 6567.570312 1778267763.7669
MEM 6567.570312 1778267763.8674
MEM 6567.570312 1778267763.9680
MEM 6567.570312 1778267764.0685
MEM 6567.570312 1778267764.1690
MEM 6567.570312 1778267764.2695
MEM 6567.570312 1778267764.3700
MEM 6567.570312 1778267764.4705
MEM 6567.570312 1778267764.5710
MEM 6567.570312 1778267764.6715
MEM 6567.570312 1778267764.7721
MEM 6567.570312 1778267764.8726
MEM 6567.570312 1778267764.9731
MEM 6567.570312 1778267765.0736
MEM 6567.570312 1778267765.1741
MEM 6567.570312 1778267765.2746
MEM 6567.570312 1778267765.3752
MEM 6567.570312 1778267765.4757
MEM 6567.570312 1778267765.5762
MEM 6567.570312 1778267765.6765
MEM 6567.570312 1778267765.7768
MEM 6567.570312 1778267765.8770
MEM 6567.570312 1778267765.9775
MEM 6567.570312 1778267766.0780
MEM 6567.570312 1778267766.1784
MEM 6567.570312 1778267766.2788
MEM 6567.570312 1778267766.3793
MEM 6567.570312 1778267766.4796
MEM 6567.570312 1778267766.5799
MEM 6567.570312 1778267766.6801
MEM 6567.570312 1778267766.7804
MEM 6567.570312 1778267766.8808
MEM 6567.570312 1778267766.9811
MEM 6567.570312 1778267767.0814
MEM 6567.570312 1778267767.1816
MEM 6567.570312 1778267767.2819
MEM 6567.570312 1778267767.3821
MEM 6567.570312 1778267767.4824
MEM 6567.570312 1778267767.5826
MEM 6567.570312 1778267767.6829
MEM 6567.570312 1778267767.7831
MEM 6567.570312 1778267767.8834
MEM 6567.570312 1778267767.9836
MEM 6567.570312 1778267768.0840
MEM 6567.570312 1778267768.1845
MEM 6567.570312 1778267768.2849
MEM 6567.570312 1778267768.3854
MEM 6567.570312 1778267768.4857
MEM 6567.570312 1778267768.5860
MEM 6567.570312 1778267768.6863
MEM 6567.570312 1778267768.7866
MEM 6567.570312 1778267768.8869
MEM 6567.570312 1778267768.9872
MEM 6567.570312 1778267769.0874
MEM 6567.570312 1778267769.1877
MEM 6567.570312 1778267769.2880
MEM 6396.574219 1778267769.3883
MEM 6021.324219 1778267769.4888
MEM 5608.824219 1778267769.5892
MEM 5133.824219 1778267769.6897
MEM 4659.324219 1778267769.7901
MEM 4180.824219 1778267769.8906
MEM 3691.574219 1778267769.9910
MEM 3214.324219 1778267770.0914
MEM 2730.074219 1778267770.1919
MEM 2248.574219 1778267770.2923
MEM 1766.574219 1778267770.3928
MEM 1292.074219 1778267770.4933
MEM 882.054688 1778267770.5937
MEM 881.304688 1778267770.6941
