Errors log for nicleic_dna
                Error in graph_extraction for 2GB7:                 
                Error in graph_extraction for 1ZM5:                 
                Error in graph_extraction for 3V1Z:                 
                Error in graph_extraction for 2EZV:                 
                Error in graph_extraction for 1P4E:                 
                Error in graph_extraction for 4Q4Z:                 
                Error in graph_extraction for 2OEH:                 
                Error in graph_extraction for 3QYX:                 
                Error in graph_extraction for 3VK7:                 
                Error in graph_extraction for 3GFI:                 
                Error in graph_extraction for 4HIO:                 
                Error in graph_extraction for 1TW8:                 
                Error in graph_extraction for 1N6J:                 
                Error in graph_extraction for 4G7H:                 
                Error in graph_extraction for 4LLN:                 
                Error in graph_extraction for 3SWM:                 
                Error in graph_extraction for 2P6R:                 
                Error in graph_extraction for 2V6E:                 
                Error in graph_extraction for 4Z8F:                 
                Error in graph_extraction for 2WIW:                 
                Error in graph_extraction for 1K8G:                 
                Error in graph_extraction for 2HZV:                 
                Error in graph_extraction for 2Y9Z:                 
                Error in graph_extraction for 4ECW:                 
                Error in graph_extraction for 1RIO:                 
                Error in graph_extraction for 3ZI5:                 
                Error in graph_extraction for 2ETW:                 
                Error in graph_extraction for 1H89:                 
                Error in graph_extraction for 1DC1:                 
                Error in graph_extraction for 3JSP:                 
                Error in graph_extraction for 2NP2:                 
                Error in graph_extraction for 1SC7:                 
                Error in graph_extraction for 1R71:                 
                Error in graph_extraction for 2FO1:                 
                Error in graph_extraction for 2WWY:                 
                Error in graph_extraction for 1WVL:                 
                Error in graph_extraction for 3FMT:                 
                Error in graph_extraction for 3N6S:                 
                Error in graph_extraction for 3HOT:                 
                Error in graph_extraction for 2FKC:                 
                Error in graph_extraction for 2FLD:                 
                Error in graph_extraction for 3FC3:                 
                Error in graph_extraction for 1Z19:                 
                Error in graph_extraction for 1J5O:                 
                Error in graph_extraction for 4PXI:                 
                Error in graph_extraction for 3IYD:                 
                Error in graph_extraction for 3BEP:                 
                Error in graph_extraction for 1ODH:                 
                Error in graph_extraction for 2VS8:                 
                Error in graph_extraction for 3N1I:                 
                Error in graph_extraction for 1MOW:                 
                Error in graph_extraction for 2DNJ:                 
                Error in graph_extraction for 2A3V:                 
                Error in graph_extraction for 1Z1B:                 
                Error in graph_extraction for 1TAU:                 
                Error in graph_extraction for 4L0Y:                 
                Error in graph_extraction for 1A73:                 
                Error in graph_extraction for 3BDN:                 
                Error in graph_extraction for 4K8X:                 
                Error in graph_extraction for 3OA6:                 
                Error in graph_extraction for 3OGD:                 
                Error in graph_extraction for 3VOK:                 
                Error in graph_extraction for 3EI1:                 
                Error in graph_extraction for 2D7D:                 
                Error in graph_extraction for 1LWT:                 
                Error in graph_extraction for 4TZD:                 
                Error in graph_extraction for 4DQY:                 
                Error in graph_extraction for 1HHT:                 
                Error in graph_extraction for 3K70:                 
                Error in graph_extraction for 3CVV:                 
                Error in graph_extraction for 4FPV:                 
                Error in graph_extraction for 1B94:                 
                Error in graph_extraction for 4ZBN:                 
                Error in graph_extraction for 2NLL:                 
                Error in graph_extraction for 3MLN:                 
                Error in graph_extraction for 3OHA:                 
                Error in graph_extraction for 3RTV:                 
                Error in graph_extraction for 3FHZ:                 
                Error in graph_extraction for 3GLF:                 
                Error in graph_extraction for 1PV4:                 
                Error in graph_extraction for 2Y35:                 
                Error in graph_extraction for 4LDX:                 
                Error in graph_extraction for 1KX5:                 
                Error in graph_extraction for 4OWW:                 
                Error in graph_extraction for 1ZRF:                 
                Error in graph_extraction for 3K57:                 
                Error in graph_extraction for 1NOY:                 
                Error in graph_extraction for 1XS9:                 
                Error in graph_extraction for 2Z9O:                 
                Error in graph_extraction for 3NGO:                 
                Error in graph_extraction for 2FIO:                 
                Error in graph_extraction for 3THW:                 
