Errors log for ligand_PO4
                Error in graph_extraction for 5UPM:                 
                Error in graph_extraction for 2IW0:                 
                Error in graph_extraction for 1VPH:                 
                Error in graph_extraction for 5JEQ:                 
                Error in graph_extraction for 2EL7:                 
                Error in graph_extraction for 3A8I:                 
                Error in graph_extraction for 1EX0:                 
                Error in graph_extraction for 5OQ2:                 
                Error in graph_extraction for 4B2O:                 
                Error in graph_extraction for 4FW9:                 
                Error in graph_extraction for 3ACG:                 
                Error in graph_extraction for 2P6U:                 
                Error in graph_extraction for 2NZ6:                 
                Error in graph_extraction for 5ESW:                 
                Error in graph_extraction for 1YPX:                 
                Error in graph_extraction for 3FZ7:                 
                Error in graph_extraction for 4K89:                 
                Error in graph_extraction for 1LC3:                 
                Error in graph_extraction for 3WQM:                 
                Error in graph_extraction for 1KSH:                 
                Error in graph_extraction for 2WTM:                 
                Error in graph_extraction for 3W82:                 
                Error in graph_extraction for 1YGP:                 
                Error in graph_extraction for 3VMN:                 
                Error in graph_extraction for 5FTD:                 
                Error in graph_extraction for 3G3Q:                 
                Error in graph_extraction for 3LA4:                 
                Error in graph_extraction for 3CZ5:                 
                Error in graph_extraction for 3EQM:                 
                Error in graph_extraction for 4KOQ:                 
                Error in graph_extraction for 3FY4:                 
                Error in graph_extraction for 3K2M:                 
                Error in graph_extraction for 2F89:                 
                Error in graph_extraction for 4IV9:                 
                Error in graph_extraction for 4BCS:                 
                Error in graph_extraction for 2ACX:                 
                Error in graph_extraction for 1DGR:                 
                Error in graph_extraction for 2GRU:                 
                Error in graph_extraction for 2ZX0:                 
                Error in graph_extraction for 3IA5:                 
                Error in graph_extraction for 4ZAW:                 
                Error in graph_extraction for 3AEX:                 
                Error in graph_extraction for 1II7:                 
                Error in graph_extraction for 3F6Q:                 
                Error in graph_extraction for 4I5W:                 
                Error in graph_extraction for 3DTU:                 
                Error in graph_extraction for 4LIX:                 
                Error in graph_extraction for 4D8U:                 
                Error in graph_extraction for 1WXX:                 
                Error in graph_extraction for 1RV3:                 
                Error in graph_extraction for 2I2F:                 
                Error in graph_extraction for 2X7X:                 
                Error in graph_extraction for 1XJO:                 
                Error in graph_extraction for 1LW3:                 
                Error in graph_extraction for 3L07:                 
                Error in graph_extraction for 4DHD:                 
                Error in graph_extraction for 2W3Z:                 
                Error in graph_extraction for 3FX3:                 
                Error in graph_extraction for 4RSL:                 
                Error in graph_extraction for 2VG2:                 
                Error in graph_extraction for 1X9F:                 
                Error in graph_extraction for 4MKV:                 
                Error in graph_extraction for 4L87:                 
                Error in graph_extraction for 2AVN:                 
                Error in graph_extraction for 1SB7:                 
                Error in graph_extraction for 1EW2:                 
                Error in graph_extraction for 5VXO:                 
                Error in graph_extraction for 1FSJ:                 
                Error in graph_extraction for 3VIU:                 
                Error in graph_extraction for 1HKC:                 
                Error in graph_extraction for 3LID:                 
                Error in graph_extraction for 2FHD:                 
                Error in graph_extraction for 2VXK:                 
                Error in graph_extraction for 2R7S:                 
                Error in graph_extraction for 3UCJ:                 
                Error in graph_extraction for 1OJL:                 
                Error in graph_extraction for 4QAY:                 
                Error in graph_extraction for 3ZK4:                 
                Error in graph_extraction for 5GZT:                 
                Error in graph_extraction for 1YN9:                 
                Error in graph_extraction for 1RKV:                 
                Error in graph_extraction for 2IXE:                 
                Error in graph_extraction for 4GLV:                 
                Error in graph_extraction for 3CBJ:                 
                Error in graph_extraction for 5A2G:                 
                Error in graph_extraction for 3EUF:                 
                Error in graph_extraction for 3NTL:                 
                Error in graph_extraction for 5NDD:                 
                Error in graph_extraction for 2F8M:                 
                Error in graph_extraction for 2W4D:                 
                Error in graph_extraction for 4ZBV:                 
