Errors log for ligand_PO4
                Error in graph_extraction for 1HKQ:                 
                Error in graph_extraction for 3THO:                 
                Error in graph_extraction for 1AZT:                 
                Error in graph_extraction for 2Q1F:                 
                Error in graph_extraction for 1GK0:                 
                Error in graph_extraction for 5CGM:                 
                Error in graph_extraction for 2OAF:                 
                Error in graph_extraction for 4GY2:                 
                Error in graph_extraction for 1XGK:                 
                Error in graph_extraction for 1J70:                 
                Error in graph_extraction for 1X9J:                 
                Error in graph_extraction for 3GD6:                 
                Error in graph_extraction for 3GQ7:                 
                Error in graph_extraction for 2HHG:                 
                Error in graph_extraction for 1P1J:                 
                Error in graph_extraction for 2NS2:                 
                Error in graph_extraction for 5D9Z:                 
                Error in graph_extraction for 2YCD:                 
                Error in graph_extraction for 1HN9:                 
                Error in graph_extraction for 3MDW:                 
                Error in graph_extraction for 1D9V:                 
                Error in graph_extraction for 2V9P:                 
                Error in graph_extraction for 3TBD:                 
                Error in graph_extraction for 1P0K:                 
                Error in graph_extraction for 1OZ0:                 
                Error in graph_extraction for 1U74:                 
                Error in graph_extraction for 1R8H:                 
                Error in graph_extraction for 1EUC:                 
                Error in graph_extraction for 1A7K:                 
                Error in graph_extraction for 4F72:                 
                Error in graph_extraction for 1WP6:                 
                Error in graph_extraction for 1YSQ:                 
                Error in graph_extraction for 4S1T:                 
                Error in graph_extraction for 1V59:                 
                Error in graph_extraction for 1B5O:                 
                Error in graph_extraction for 3PR1:                 
                Error in graph_extraction for 2DXQ:                 
                Error in graph_extraction for 2ACH:                 
                Error in graph_extraction for 1YBA:                 
                Error in graph_extraction for 4DHG:                 
                Error in graph_extraction for 4K0B:                 
                Error in graph_extraction for 4BNQ:                 
                Error in graph_extraction for 2ISI:                 
                Error in graph_extraction for 2EO4:                 
                Error in graph_extraction for 3E4W:                 
                Error in graph_extraction for 2HS3:                 
                Error in graph_extraction for 2PNK:                 
                Error in graph_extraction for 5FBB:                 
                Error in graph_extraction for 3FXI:                 
                Error in graph_extraction for 1ZHQ:                 
                Error in graph_extraction for 3EZ1:                 
                Error in graph_extraction for 3HEB:                 
                Error in graph_extraction for 5CYR:                 
                Error in graph_extraction for 5T30:                 
                Error in graph_extraction for 5YKH:                 
                Error in graph_extraction for 1O58:                 
                Error in graph_extraction for 5NXF:                 
                Error in graph_extraction for 1RKD:                 
                Error in graph_extraction for 3WAG:                 
                Error in graph_extraction for 2VEF:                 
                Error in graph_extraction for 1HXN:                 
                Error in graph_extraction for 4YB8:                 
                Error in graph_extraction for 2OFX:                 
                Error in graph_extraction for 4XBH:                 
                Error in graph_extraction for 3C3D:                 
                Error in graph_extraction for 1LWE:                 
                Error in graph_extraction for 1KV8:                 
                Error in graph_extraction for 4DLK:                 
                Error in graph_extraction for 2JBO:                 
                Error in graph_extraction for 2E5A:                 
                Error in graph_extraction for 3KB8:                 
                Error in graph_extraction for 5V7S:                 
                Error in graph_extraction for 1C8Z:                 
                Error in graph_extraction for 3D22:                 
                Error in graph_extraction for 4RNZ:                 
                Error in graph_extraction for 1XXH:                 
                Error in graph_extraction for 4QNU:                 
                Error in graph_extraction for 4KCB:                 
                Error in graph_extraction for 2VRK:                 
                Error in graph_extraction for 2EHH:                 
                Error in graph_extraction for 3TBB:                 
                Error in graph_extraction for 3LXH:                 
                Error in graph_extraction for 3WE2:                 
                Error in graph_extraction for 1PIE:                 
                Error in graph_extraction for 3FN2:                 
                Error in graph_extraction for 2IVF:                 
                Error in graph_extraction for 2PPQ:                 
                Error in graph_extraction for 1JS1:                 
                Error in graph_extraction for 2OIV:                 
                Error in graph_extraction for 3LHL:                 
                Error in graph_extraction for 4MDT:                 
                Error in graph_extraction for 2QWO:                 
                Error in graph_extraction for 1SK8:                 
                Error in graph_extraction for 2J0X:                 
                Error in graph_extraction for 3D8R:                 
                Error in graph_extraction for 2NQH:                 
                Error in graph_extraction for 4OX3:                 
                Error in graph_extraction for 3DAF:                 
                Error in graph_extraction for 1S3L:                 
                Error in graph_extraction for 4JKO:                 
                Error in graph_extraction for 4BE7:                 
                Error in graph_extraction for 2X4A:                 
                Error in graph_extraction for 3KO8:                 
                Error in graph_extraction for 1PP9:                 
                Error in graph_extraction for 3DAH:                 
                Error in graph_extraction for 3VNY:                 
                Error in graph_extraction for 5YDU:                 
                Error in graph_extraction for 1JFT:                 
                Error in graph_extraction for 1PII:                 
                Error in graph_extraction for 2V7M:                 
                Error in graph_extraction for 2YZ5:                 
                Error in graph_extraction for 2WBI:                 
                Error in graph_extraction for 3IRM:                 
                Error in graph_extraction for 2HIA:                 
                Error in graph_extraction for 2VS1:                 
                Error in graph_extraction for 4Y2W:                 
                Error in graph_extraction for 2I3C:                 
                Error in graph_extraction for 1H54:                 
                Error in graph_extraction for 3EE7:                 
                Error in graph_extraction for 1YQQ:                 
                Error in graph_extraction for 1VJD:                 
                Error in graph_extraction for 1MG2:                 
                Error in graph_extraction for 1V04:                 
                Error in graph_extraction for 2DKC:                 
                Error in graph_extraction for 2NXF:                 
                Error in graph_extraction for 2F6S:                 
                Error in graph_extraction for 1O9B:                 
                Error in graph_extraction for 1IUG:                 
                Error in graph_extraction for 2OOV:                 
                Error in graph_extraction for 2QI9:                 
                Error in graph_extraction for 1S95:                 
                Error in graph_extraction for 3O21:                 
                Error in graph_extraction for 2ZQN:                 
                Error in graph_extraction for 1R0B:                 
                Error in graph_extraction for 2I1O:                 
                Error in graph_extraction for 1W0M:                 
                Error in graph_extraction for 3QKR:                 
                Error in graph_extraction for 2DQL:                 
                Error in graph_extraction for 2Y38:                 
                Error in graph_extraction for 5FQH:                 
                Error in graph_extraction for 2ABQ:                 
                Error in graph_extraction for 3HZG:                 
                Error in graph_extraction for 1O4C:                 
                Error in graph_extraction for 3A9Y:                 
                Error in graph_extraction for 1VDR:                 
                Error in graph_extraction for 3L8F:                 
                Error in graph_extraction for 1S1T:                 
                Error in graph_extraction for 3HPD:                 
                Error in graph_extraction for 3F5B:                 
                Error in graph_extraction for 2GD9:                 
                Error in graph_extraction for 1CRX:                 
                Error in graph_extraction for 3GDE:                 
                Error in graph_extraction for 1L8O:                 
                Error in graph_extraction for 1NG3:                 
                Error in graph_extraction for 1IGS:                 
                Error in graph_extraction for 3QT4:                 
                Error in graph_extraction for 2A96:                 
                Error in graph_extraction for 2ZXH:                 
                Error in graph_extraction for 3IO5:                 
                Error in graph_extraction for 3TBG:                 
                Error in graph_extraction for 2C6P:                 
                Error in graph_extraction for 1UW3:                 
                Error in graph_extraction for 5W7B:                 
                Error in graph_extraction for 5LXZ:                 
                Error in graph_extraction for 3LWK:                 
                Error in graph_extraction for 1BX0:                 
                Error in graph_extraction for 1WEK:                 
                Error in graph_extraction for 2HZM:                 
                Error in graph_extraction for 4PR3:                 
                Error in graph_extraction for 1WYG:                 
                Error in graph_extraction for 1BZQ:                 
                Error in graph_extraction for 3IW0:                 
                Error in graph_extraction for 4LHO:                 
                Error in graph_extraction for 5MTZ:                 
                Error in graph_extraction for 3V0G:                 
                Error in graph_extraction for 2GTE:                 
                Error in graph_extraction for 2QB7:                 
                Error in graph_extraction for 3I5K:                 
                Error in graph_extraction for 4X47:                 
                Error in graph_extraction for 3FKS:                 
                Error in graph_extraction for 1MZH:                 
                Error in graph_extraction for 3BL5:                 
                Error in graph_extraction for 5CVL:                 
                Error in graph_extraction for 2CZC:                 
                Error in graph_extraction for 3TMD:                 
                Error in graph_extraction for 3QVA:                 
                Error in graph_extraction for 2Q9F:                 
                Error in graph_extraction for 4DYD:                 
                Error in graph_extraction for 1WE1:                 
                Error in graph_extraction for 5NJ2:                 
                Error in graph_extraction for 2BGD:                 
                Error in graph_extraction for 3WAS:                 
                Error in graph_extraction for 3FJM:                 
                Error in graph_extraction for 2QMU:                 
                Error in graph_extraction for 4DWQ:                 
                Error in graph_extraction for 1L3P:                 
                Error in graph_extraction for 2IK0:                 
                Error in graph_extraction for 1P35:                 
                Error in graph_extraction for 2PHL:                 
                Error in graph_extraction for 2FN0:                 
                Error in graph_extraction for 3BF5:                 
                Error in graph_extraction for 5HXY:                 
                Error in graph_extraction for 1KXJ:                 
                Error in graph_extraction for 1IHK:                 
                Error in graph_extraction for 4YJ6:                 
                Error in graph_extraction for 2W3X:                 
                Error in graph_extraction for 2EGK:                 
                Error in graph_extraction for 2GK6:                 
                Error in graph_extraction for 2VA1:                 
                Error in graph_extraction for 4XYX:                 
                Error in graph_extraction for 3HPH:                 
                Error in graph_extraction for 1VLP:                 
                Error in graph_extraction for 3BEX:                 
                Error in graph_extraction for 1RLI:                 
                Error in graph_extraction for 5VJV:                 
                Error in graph_extraction for 1ZTC:                 
                Error in graph_extraction for 2A3L:                 
                Error in graph_extraction for 4PRX:                 
                Error in graph_extraction for 2QRU:                 
                Error in graph_extraction for 3FRO:                 
                Error in graph_extraction for 4NIA:                 
                Error in graph_extraction for 3O63:                 
                Error in graph_extraction for 3LUL:                 
                Error in graph_extraction for 5Y78:                 
                Error in graph_extraction for 1V33:                 
                Error in graph_extraction for 3DUP:                 
                Error in graph_extraction for 3LM8:                 
                Error in graph_extraction for 1U80:                 
                Error in graph_extraction for 4N4G:                 
                Error in graph_extraction for 1KTG:                 
                Error in graph_extraction for 1LC7:                 
                Error in graph_extraction for 3ALF:                 
                Error in graph_extraction for 3DXJ:                 
                Error in graph_extraction for 2NS9:                 
                Error in graph_extraction for 4RNC:                 
                Error in graph_extraction for 2WGP:                 
                Error in graph_extraction for 2YW2:                 
                Error in graph_extraction for 4Z8Q:                 
                Error in graph_extraction for 2CNS:                 
                Error in graph_extraction for 3IPO:                 
                Error in graph_extraction for 2QM8:                 
                Error in graph_extraction for 3MAE:                 
                Error in graph_extraction for 3FZQ:                 
                Error in graph_extraction for 2QGZ:                 
                Error in graph_extraction for 3G5P:                 
                Error in graph_extraction for 3EZS:                 
                Error in graph_extraction for 3FYC:                 
                Error in graph_extraction for 2IN3:                 
                Error in graph_extraction for 1TV9:                 
                Error in graph_extraction for 1LEN:                 
                Error in graph_extraction for 5IN8:                 
                Error in graph_extraction for 2HOY:                 
                Error in graph_extraction for 4MZE:                 
                Error in graph_extraction for 1Q3F:                 
                Error in graph_extraction for 1UU0:                 
                Error in graph_extraction for 4G39:                 
                Error in graph_extraction for 1XQ4:                 
                Error in graph_extraction for 2ZYC:                 
