epoch,step,test_acc,test_f1,test_loss,train_acc,train_loss,valid_acc,valid_loss
0,49,,,,0.0,2.165422201156616,,
0,99,,,,0.0,2.165422201156616,,
0,149,,,,0.0,2.165422201156616,,
0,156,,,,,,0.23749999701976776,1.9278541803359985
1,199,,,,0.0,2.165422201156616,,
1,249,,,,0.0,2.165422201156616,,
1,299,,,,0.5,1.6654222011566162,,
1,313,,,,,,0.23749999701976776,1.9277843236923218
2,349,,,,0.0,2.165422201156616,,
2,399,,,,0.75,1.4154222011566162,,
2,449,,,,0.0,2.165422201156616,,
2,470,,,,,,0.2388889044523239,1.9265328645706177
3,499,,,,0.0,2.165422201156616,,
3,549,,,,0.0,2.165422201156616,,
3,599,,,,0.0,2.165422201156616,,
3,627,,,,,,0.18541665375232697,1.9795737266540527
4,649,,,,0.5,1.6654222011566162,,
4,699,,,,0.5,1.6654222011566162,,
4,749,,,,0.25,1.9154222011566162,,
4,784,,,,,,0.18541665375232697,1.9795864820480347
5,799,,,,0.25,1.9154222011566162,,
5,849,,,,0.0,2.165422201156616,,
5,899,,,,0.0,2.165422201156616,,
5,941,,,,,,0.16458334028720856,2.0007741451263428
6,949,,,,0.25,1.9154222011566162,,
6,999,,,,0.25,1.9154222011566162,,
6,1049,,,,0.0,2.165422201156616,,
6,1098,,,,,,0.16458334028720856,2.0007741451263428
7,1099,,,,0.0,2.165422201156616,,
7,1149,,,,0.25,1.9154222011566162,,
7,1199,,,,0.5,1.6654222011566162,,
7,1249,,,,0.0,2.165422201156616,,
7,1255,,,,,,0.18541665375232697,1.9801435470581055
8,1299,,,,0.0,2.165422201156616,,
8,1349,,,,0.0,2.165422201156616,,
8,1399,,,,0.25,1.9154222011566162,,
8,1412,,,,,,0.2076389044523239,1.9547959566116333
9,1449,,,,0.25,1.9154222011566162,,
9,1499,,,,0.5,1.6654222011566162,,
9,1549,,,,0.0,2.165422201156616,,
9,1569,,,,,,0.2388889044523239,1.9265328645706177
10,1599,,,,0.0,2.1577115058898926,,
10,1649,,,,0.25,1.9154222011566162,,
10,1699,,,,0.0,2.165422201156616,,
10,1726,,,,,,0.2388889044523239,1.9265326261520386
11,1749,,,,0.0,2.165422201156616,,
11,1799,,,,0.0,2.165422201156616,,
11,1849,,,,0.5,1.6654222011566162,,
