dataset,time_to_extract_1,time_to_extract_2,time_to_extract_3,time_to_extract_4,time_to_extract_5,time_to_extract_6,time_to_extract_7,time_to_extract_8,time_to_extract_9,time_to_extract_10
bcl_ppigremlin,40.29,39.75,42.14,42.41,39.86,41.35,43.55,42.65,42.34,43.16
bcl_ppigremlin,41.29,41.13,41.94,38.31,40.23,42.81,41.51,42.38,41.03,43.09
bcl_ppigremlin,39.14,41.10,38.92,42.38,41.99,41.07,39.83,40.50,42.64,42.21
bcl_ppigremlin,40.52,39.40,40.50,41.38,42.89,39.97,41.10,43.31,41.00,43.21
bcl_ppigremlin,41.13,40.42,42.96,41.01,40.47,50.44,53.07,57.16,47.91,60.83
ligand_PLP,242.85,255.80,268.15,282.92,273.98,276.29,281.72,261.70,238.11,281.83
ligand_PLP,258.73,238.45,236.13,257.31,286.37,287.80,276.22,281.73,274.41,266.66
ligand_PLP,259.42,258.47,304.97,250.76,297.71,276.70,287.55,272.47,296.23,265.34
ligand_PLP,262.69,269.88,275.49,278.80,302.60,272.63,264.48,285.68,305.58,286.43
ligand_PLP,254.97,260.34,277.24,254.87,258.40,281.69,282.03,297.14,304.92,278.03
soybean_ppigremlin,137.37,119.39,139.67,142.08,127.22,131.08,132.37,128.28,135.15,116.95
soybean_ppigremlin,102.94,103.25,127.45,153.76,129.72,120.84,141.83,121.54,133.09,135.20
soybean_ppigremlin,119.08,139.46,129.13,144.15,140.78,122.02,127.83,130.78,147.38,135.66
soybean_ppigremlin,116.69,136.69,117.71,139.49,133.92,114.60,125.33,137.05,125.26,132.15
soybean_ppigremlin,115.13,114.43,112.61,99.21,103.05,113.31,119.84,120.18,106.46,111.40
