2025-04-09 18:15:28 install wget:amd64 <none> 1.21.3-1+deb12u1
2025-04-09 18:15:28 status half-installed wget:amd64 1.21.3-1+deb12u1
2025-04-09 18:15:28 status unpacked wget:amd64 1.21.3-1+deb12u1
2025-04-09 18:15:28 install xz-utils:amd64 <none> 5.4.1-1
2025-04-09 18:15:28 status half-installed xz-utils:amd64 5.4.1-1
2025-04-09 18:15:28 status unpacked xz-utils:amd64 5.4.1-1
2025-04-09 18:15:28 install binutils-common:amd64 <none> 2.40-2
2025-04-09 18:15:28 status half-installed binutils-common:amd64 2.40-2
2025-04-09 18:15:29 status unpacked binutils-common:amd64 2.40-2
2025-04-09 18:15:29 install libbinutils:amd64 <none> 2.40-2
2025-04-09 18:15:29 status half-installed libbinutils:amd64 2.40-2
2025-04-09 18:15:29 status unpacked libbinutils:amd64 2.40-2
2025-04-09 18:15:29 install libctf-nobfd0:amd64 <none> 2.40-2
2025-04-09 18:15:29 status half-installed libctf-nobfd0:amd64 2.40-2
2025-04-09 18:15:29 status unpacked libctf-nobfd0:amd64 2.40-2
2025-04-09 18:15:29 install libctf0:amd64 <none> 2.40-2
2025-04-09 18:15:29 status half-installed libctf0:amd64 2.40-2
2025-04-09 18:15:29 status unpacked libctf0:amd64 2.40-2
2025-04-09 18:15:29 install libgprofng0:amd64 <none> 2.40-2
2025-04-09 18:15:29 status half-installed libgprofng0:amd64 2.40-2
2025-04-09 18:15:29 status unpacked libgprofng0:amd64 2.40-2
2025-04-09 18:15:29 install libjansson4:amd64 <none> 2.14-2
2025-04-09 18:15:29 status half-installed libjansson4:amd64 2.14-2
2025-04-09 18:15:29 status unpacked libjansson4:amd64 2.14-2
2025-04-09 18:15:29 install binutils-x86-64-linux-gnu:amd64 <none> 2.40-2
2025-04-09 18:15:29 status half-installed binutils-x86-64-linux-gnu:amd64 2.40-2
2025-04-09 18:15:29 status unpacked binutils-x86-64-linux-gnu:amd64 2.40-2
2025-04-09 18:15:29 install binutils:amd64 <none> 2.40-2
2025-04-09 18:15:29 status half-installed binutils:amd64 2.40-2
2025-04-09 18:15:29 status unpacked binutils:amd64 2.40-2
2025-04-09 18:15:29 install libisl23:amd64 <none> 0.25-1.1
2025-04-09 18:15:29 status half-installed libisl23:amd64 0.25-1.1
2025-04-09 18:15:29 status unpacked libisl23:amd64 0.25-1.1
2025-04-09 18:15:29 install libmpfr6:amd64 <none> 4.2.0-1
2025-04-09 18:15:29 status half-installed libmpfr6:amd64 4.2.0-1
2025-04-09 18:15:29 status unpacked libmpfr6:amd64 4.2.0-1
2025-04-09 18:15:29 install libmpc3:amd64 <none> 1.3.1-1
2025-04-09 18:15:29 status half-installed libmpc3:amd64 1.3.1-1
2025-04-09 18:15:29 status unpacked libmpc3:amd64 1.3.1-1
2025-04-09 18:15:29 install cpp-12:amd64 <none> 12.2.0-14
2025-04-09 18:15:29 status half-installed cpp-12:amd64 12.2.0-14
2025-04-09 18:15:30 status unpacked cpp-12:amd64 12.2.0-14
2025-04-09 18:15:30 install cpp:amd64 <none> 4:12.2.0-3
2025-04-09 18:15:30 status half-installed cpp:amd64 4:12.2.0-3
2025-04-09 18:15:30 status unpacked cpp:amd64 4:12.2.0-3
2025-04-09 18:15:30 install libassuan0:amd64 <none> 2.5.5-5
2025-04-09 18:15:30 status half-installed libassuan0:amd64 2.5.5-5
2025-04-09 18:15:30 status unpacked libassuan0:amd64 2.5.5-5
2025-04-09 18:15:30 install libreadline8:amd64 <none> 8.2-1.3
2025-04-09 18:15:30 status half-installed libreadline8:amd64 8.2-1.3
2025-04-09 18:15:30 status unpacked libreadline8:amd64 8.2-1.3
2025-04-09 18:15:30 install gpgconf:amd64 <none> 2.2.40-1.1
2025-04-09 18:15:30 status half-installed gpgconf:amd64 2.2.40-1.1
2025-04-09 18:15:30 status unpacked gpgconf:amd64 2.2.40-1.1
2025-04-09 18:15:30 install libksba8:amd64 <none> 1.6.3-2
2025-04-09 18:15:30 status half-installed libksba8:amd64 1.6.3-2
2025-04-09 18:15:30 status unpacked libksba8:amd64 1.6.3-2
2025-04-09 18:15:30 install libsasl2-modules-db:amd64 <none> 2.1.28+dfsg-10
2025-04-09 18:15:30 status half-installed libsasl2-modules-db:amd64 2.1.28+dfsg-10
2025-04-09 18:15:30 status unpacked libsasl2-modules-db:amd64 2.1.28+dfsg-10
2025-04-09 18:15:30 install libsasl2-2:amd64 <none> 2.1.28+dfsg-10
2025-04-09 18:15:30 status half-installed libsasl2-2:amd64 2.1.28+dfsg-10
2025-04-09 18:15:30 status unpacked libsasl2-2:amd64 2.1.28+dfsg-10
2025-04-09 18:15:30 install libldap-2.5-0:amd64 <none> 2.5.13+dfsg-5
2025-04-09 18:15:30 status half-installed libldap-2.5-0:amd64 2.5.13+dfsg-5
2025-04-09 18:15:30 status unpacked libldap-2.5-0:amd64 2.5.13+dfsg-5
2025-04-09 18:15:30 install libnpth0:amd64 <none> 1.6-3
2025-04-09 18:15:30 status half-installed libnpth0:amd64 1.6-3
2025-04-09 18:15:30 status unpacked libnpth0:amd64 1.6-3
2025-04-09 18:15:30 install dirmngr:amd64 <none> 2.2.40-1.1
2025-04-09 18:15:30 status half-installed dirmngr:amd64 2.2.40-1.1
2025-04-09 18:15:30 status unpacked dirmngr:amd64 2.2.40-1.1
2025-04-09 18:15:30 install libdpkg-perl:all <none> 1.21.22
2025-04-09 18:15:30 status half-installed libdpkg-perl:all 1.21.22
2025-04-09 18:15:30 status unpacked libdpkg-perl:all 1.21.22
2025-04-09 18:15:30 install patch:amd64 <none> 2.7.6-7
2025-04-09 18:15:30 status half-installed patch:amd64 2.7.6-7
2025-04-09 18:15:30 status unpacked patch:amd64 2.7.6-7
2025-04-09 18:15:30 install make:amd64 <none> 4.3-4.1
2025-04-09 18:15:30 status half-installed make:amd64 4.3-4.1
2025-04-09 18:15:30 status unpacked make:amd64 4.3-4.1
2025-04-09 18:15:30 install dpkg-dev:all <none> 1.21.22
2025-04-09 18:15:30 status half-installed dpkg-dev:all 1.21.22
