dataset,Time to construct graphs,number of nodes in dataset,number of edges in dataset,Number of graphs,Time to compress,Uncompressed complete graph size,Uncompressed complete graph size serialized,Uncompressed graph structure,Compressed graph,Compressed graph structure,pdb_code_to_id,pdb_code_to_id_serialized,pdb_id_to_nodes,pdb_id_to_nodes_serialized,pdb_id_to_edges,pdb_id_to_edges_serialized,node_label_to_node_id,node_label_to_node_id_serialized,edge_label_to_edge_id,edge_label_to_edge_id_serialized,Uncompressed node attr values,Uncompressed edge attr values,Compressed dict attributes,Total compressed node attr values,Total compressed edge attr values,attr_keys,attr_keys_serialized,edge_attr_values,edge_attr_values_serialized,node_attr_values,node_attr_values_serialized,Compressed node attributes,node_global_attr_keyvalue_mapping,node_global_attr_keyvalue_mapping_serialized,node_local_attr_keyvalue_mapping,node_local_attr_keyvalue_mapping_serialized,Compressed edge attributes,edge_local_attr_keyvalue_mapping,edge_local_attr_keyvalue_mapping_serialized,Compressed graph object size,Compressed graph complete size serialized
nicleic_dna,133.44,378689,2829898,533,105.67,1978.96,232.07,995.80,1833.25,409.08,0.06,0.00,0.77,0.74,3.46,3.44,21.13,1.85,383.65,41.17,421.71,1319.37,603.75,201.58,1222.60,0.00,0.00,492.72,64.66,111.03,19.05,90.54,2.32,2.32,88.22,8.25,729.88,729.88,66.21,1649.90,229.58
nicleic_dna,132.73,378689,2829898,533,106.70,1978.96,232.07,995.80,1833.25,409.08,0.06,0.00,0.77,0.74,3.46,3.44,21.13,1.85,383.65,41.17,421.71,1319.37,603.75,201.58,1222.60,0.00,0.00,492.72,64.66,111.03,19.05,90.54,2.32,2.32,88.22,8.25,729.88,729.88,66.21,1649.90,229.58
nicleic_dna,134.45,378689,2829898,533,105.17,1978.96,232.07,995.80,1833.25,409.08,0.06,0.00,0.77,0.74,3.46,3.44,21.13,1.85,383.65,41.17,421.71,1319.37,603.75,201.58,1222.60,0.00,0.00,492.72,64.66,111.03,19.05,90.54,2.32,2.32,88.22,8.25,729.88,729.88,66.21,1649.90,229.58
nicleic_dna,133.80,378689,2829898,533,105.94,1978.96,232.07,995.80,1833.25,409.08,0.06,0.00,0.77,0.74,3.46,3.44,21.13,1.85,383.65,41.17,421.71,1319.37,603.75,201.58,1222.60,0.00,0.00,492.72,64.66,111.03,19.05,90.54,2.32,2.32,88.22,8.25,729.88,729.88,66.21,1649.90,229.58
nicleic_dna,132.96,378689,2829898,533,107.20,1978.96,232.07,995.80,1833.25,409.08,0.06,0.00,0.77,0.74,3.46,3.44,21.13,1.85,383.65,41.17,421.71,1319.37,603.75,201.58,1222.60,0.00,0.00,492.72,64.66,111.03,19.05,90.54,2.32,2.32,88.22,8.25,729.88,729.88,66.21,1649.90,229.58
dataset,Time to construct graphs,number of nodes in dataset,number of edges in dataset,Number of graphs,Time to compress,Uncompressed complete graph size,Uncompressed complete graph size serialized,Uncompressed graph structure,Compressed graph,Compressed graph structure,pdb_code_to_id,pdb_code_to_id_serialized,pdb_id_to_nodes,pdb_id_to_nodes_serialized,pdb_id_to_edges,pdb_id_to_edges_serialized,node_label_to_node_id,node_label_to_node_id_serialized,edge_label_to_edge_id,edge_label_to_edge_id_serialized,Uncompressed node attr values,Uncompressed edge attr values,Compressed dict attributes,Total compressed node attr values,Total compressed edge attr values,attr_keys,attr_keys_serialized,edge_attr_values,edge_attr_values_serialized,node_attr_values,node_attr_values_serialized,Compressed node attributes,node_global_attr_keyvalue_mapping,node_global_attr_keyvalue_mapping_serialized,node_local_attr_keyvalue_mapping,node_local_attr_keyvalue_mapping_serialized,Compressed edge attributes,edge_local_attr_keyvalue_mapping,edge_local_attr_keyvalue_mapping_serialized,Compressed graph object size,Compressed graph complete size serialized
nucleotides_FAD,63.52,183161,1381744,168,53.63,962.55,113.32,483.53,800.97,214.92,0.02,0.00,0.36,0.35,1.34,1.33,11.78,1.07,201.43,22.36,204.60,644.32,218.67,99.19,486.85,0.00,0.00,164.34,31.51,54.34,9.14,44.86,1.41,1.41,43.44,3.74,322.52,322.52,31.39,705.91,112.87
nucleotides_FAD,63.29,183161,1381744,168,53.92,962.55,113.32,483.53,800.97,214.92,0.02,0.00,0.36,0.35,1.34,1.33,11.78,1.07,201.43,22.36,204.60,644.32,218.67,99.19,486.85,0.00,0.00,164.34,31.51,54.34,9.14,44.86,1.41,1.41,43.44,3.74,322.52,322.52,31.39,705.91,112.87
nucleotides_FAD,63.33,183161,1381744,168,52.62,962.55,113.32,483.53,800.97,214.92,0.02,0.00,0.36,0.35,1.34,1.33,11.78,1.07,201.43,22.36,204.60,644.32,218.67,99.19,486.85,0.00,0.00,164.34,31.51,54.34,9.14,44.86,1.41,1.41,43.44,3.74,322.52,322.52,31.39,705.91,112.87
nucleotides_FAD,63.22,183161,1381744,168,53.67,962.55,113.32,483.53,800.97,214.92,0.02,0.00,0.36,0.35,1.34,1.33,11.78,1.07,201.43,22.36,204.60,644.32,218.67,99.19,486.85,0.00,0.00,164.34,31.51,54.34,9.14,44.86,1.41,1.41,43.44,3.74,322.52,322.52,31.39,705.91,112.87
nucleotides_FAD,63.00,183161,1381744,168,53.62,962.55,113.32,483.53,800.97,214.92,0.02,0.00,0.36,0.35,1.34,1.33,11.78,1.07,201.43,22.36,204.60,644.32,218.67,99.19,486.85,0.00,0.00,164.34,31.51,54.34,9.14,44.86,1.41,1.41,43.44,3.74,322.52,322.52,31.39,705.91,112.87
dataset,Time to construct graphs,number of nodes in dataset,number of edges in dataset,Number of graphs,Time to compress,Uncompressed complete graph size,Uncompressed complete graph size serialized,Uncompressed graph structure,Compressed graph,Compressed graph structure,pdb_code_to_id,pdb_code_to_id_serialized,pdb_id_to_nodes,pdb_id_to_nodes_serialized,pdb_id_to_edges,pdb_id_to_edges_serialized,node_label_to_node_id,node_label_to_node_id_serialized,edge_label_to_edge_id,edge_label_to_edge_id_serialized,Uncompressed node attr values,Uncompressed edge attr values,Compressed dict attributes,Total compressed node attr values,Total compressed edge attr values,attr_keys,attr_keys_serialized,edge_attr_values,edge_attr_values_serialized,node_attr_values,node_attr_values_serialized,Compressed node attributes,node_global_attr_keyvalue_mapping,node_global_attr_keyvalue_mapping_serialized,node_local_attr_keyvalue_mapping,node_local_attr_keyvalue_mapping_serialized,Compressed edge attributes,edge_local_attr_keyvalue_mapping,edge_local_attr_keyvalue_mapping_serialized,Compressed graph object size,Compressed graph complete size serialized
nucleotides_NAD,44.46,137597,1034019,139,39.60,721.77,84.87,363.28,645.13,183.24,0.02,0.00,0.27,0.26,1.12,1.11,10.14,0.80,171.71,16.86,153.74,481.63,178.94,67.06,394.82,0.00,0.00,143.11,23.55,35.83,6.85,31.23,1.07,1.07,30.16,2.76,251.71,251.71,23.41,573.59,84.58
nucleotides_NAD,44.16,137597,1034019,139,39.54,721.77,84.87,363.28,645.13,183.24,0.02,0.00,0.27,0.26,1.12,1.11,10.14,0.80,171.71,16.86,153.74,481.63,178.94,67.06,394.82,0.00,0.00,143.11,23.55,35.83,6.85,31.23,1.07,1.07,30.16,2.76,251.71,251.71,23.41,573.59,84.58
nucleotides_NAD,43.81,137597,1034019,139,39.13,721.77,84.87,363.28,645.13,183.24,0.02,0.00,0.27,0.26,1.12,1.11,10.14,0.80,171.71,16.86,153.74,481.63,178.94,67.06,394.82,0.00,0.00,143.11,23.55,35.83,6.85,31.23,1.07,1.07,30.16,2.76,251.71,251.71,23.41,573.59,84.58
nucleotides_NAD,44.01,137597,1034019,139,39.10,721.77,84.87,363.28,645.13,183.24,0.02,0.00,0.27,0.26,1.12,1.11,10.14,0.80,171.71,16.86,153.74,481.63,178.94,67.06,394.82,0.00,0.00,143.11,23.55,35.83,6.85,31.23,1.07,1.07,30.16,2.76,251.71,251.71,23.41,573.59,84.58
nucleotides_NAD,43.89,137597,1034019,139,39.01,721.77,84.87,363.28,645.13,183.24,0.02,0.00,0.27,0.26,1.12,1.11,10.14,0.80,171.71,16.86,153.74,481.63,178.94,67.06,394.82,0.00,0.00,143.11,23.55,35.83,6.85,31.23,1.07,1.07,30.16,2.76,251.71,251.71,23.41,573.59,84.58
